"searchTerm","semanticTags","confidence","annotatedProperty.propertyValue","derivedFrom.provenance.source.type"
"Kellogg's Rice Krispies Cereal 340g","http://purl.obolibrary.org/obo/FOODON_03309403","MEDIUM","rice krispies cereal","ONTOLOGY"
"Kellogg's Rice Krispies Cereal 340g","http://purl.obolibrary.org/obo/FOODON_03310609","MEDIUM","rice cereal","ONTOLOGY"
"Raisins","http://purl.obolibrary.org/obo/FOODON_03544358","MEDIUM","43580 - raisins flavour (efsa foodex2)","ONTOLOGY"
"Raisins","http://purl.obolibrary.org/obo/FOODON_03544306","MEDIUM","43060 - malaga / raisins flavour (efsa foodex2)","ONTOLOGY"
"McCoys Ridge Cut Salt","http://purl.obolibrary.org/obo/FOODON_03306877","GOOD","squash (cut)","ONTOLOGY"
"Spaghetti bolognese, homemade","http://purl.obolibrary.org/obo/FOODON_03305711","MEDIUM","spaghetti bolognese","ONTOLOGY"
"Spaghetti bolognese, homemade","http://purl.obolibrary.org/obo/FOODON_00003232","MEDIUM","bolognese sauce","ONTOLOGY"
"Discos Salt & Vinegar Flavour 25.5g","http://purl.obolibrary.org/obo/FOODON_00002221","GOOD","salt product","ONTOLOGY"
"Tesco Unsalted Mixed Nuts 200G","http://purl.obolibrary.org/obo/FOODON_03301367","MEDIUM","nuts (mixed)","ONTOLOGY"
"Tesco Unsalted Mixed Nuts 200G","http://purl.obolibrary.org/obo/FOODON_03301777","MEDIUM","butter (unsalted)","ONTOLOGY"
"Waitrose 9 Vanilla all Butter Viennese Swirls 125g","http://purl.obolibrary.org/obo/FOODON_03302521","GOOD","butter (vanilla-flavored)","ONTOLOGY"
"Bahlsen Choco Leibniz Milk 125g","http://purl.obolibrary.org/obo/FOODON_00001043","GOOD","ovine milk beverage","ONTOLOGY"
"Bahlsen Messino Dark Chocolate Tangy Jaffa Cakes 125g","http://purl.obolibrary.org/obo/FOODON_03540271","MEDIUM","02710 - chocolate-based cakes (efsa foodex2)","ONTOLOGY"
"Bahlsen Messino Dark Chocolate Tangy Jaffa Cakes 125g","http://purl.obolibrary.org/obo/FOODON_03303588","MEDIUM","dark chocolate","ONTOLOGY"
"Coffee, Americano, single, black","http://purl.obolibrary.org/obo/FOODON_03317560","GOOD","americano","ONTOLOGY"
"Cheese Roll","http://purl.obolibrary.org/obo/FOODON_03304816","MEDIUM","pimiento cheese sandwich roll","ONTOLOGY"
"Cheese Roll","http://purl.obolibrary.org/obo/FOODON_00002421","MEDIUM","cambozola cheese","ONTOLOGY"
"Taiko Snack Sushi 90g","http://purl.obolibrary.org/obo/FOODON_00003243","MEDIUM","sushi","ONTOLOGY"
"Taiko Snack Sushi 90g","http://purl.obolibrary.org/obo/FOODON_00003311","MEDIUM","rawhide snack","ONTOLOGY"
"Omelette, plain, homemade","http://purl.obolibrary.org/obo/FOODON_03543874","MEDIUM","38740 - omelette, plain (efsa foodex2)","ONTOLOGY"
"Omelette, plain, homemade","http://purl.obolibrary.org/obo/FOODON_00003252","MEDIUM","omelette","ONTOLOGY"
"Kikkoman Soy Sauce 1L","http://purl.obolibrary.org/obo/FOODON_03301115","MEDIUM","soy sauce","ONTOLOGY"
"Kikkoman Soy Sauce 1L","http://purl.obolibrary.org/obo/FOODON_03315495","MEDIUM","soy sauce pickle","ONTOLOGY"
"Alma White Mice 120 Pieces","http://purl.obolibrary.org/obo/FOODON_00003460","MEDIUM","food (pieces)","ONTOLOGY"
"Alma White Mice 120 Pieces","http://purl.obolibrary.org/obo/FOODON_03306227","MEDIUM","maraschino-flavored pineapple pieces","ONTOLOGY"
"Mama Oriental Style Instant Noodles Chicken Flavour Jumbo Pack 90g","http://purl.obolibrary.org/obo/FOODON_03306526","MEDIUM","spaghetti macaroni (oriental-style)","ONTOLOGY"
"Mama Oriental Style Instant Noodles Chicken Flavour Jumbo Pack 90g","http://purl.obolibrary.org/obo/FOODON_03306964","MEDIUM","noodle (oriental-style)","ONTOLOGY"
"Burger, cheeseburger, takeaway","http://purl.obolibrary.org/obo/FOODON_03304654","MEDIUM","cheeseburger","ONTOLOGY"
"Burger, cheeseburger, takeaway","http://purl.obolibrary.org/obo/FOODON_03304754","MEDIUM","swiss cheeseburger","ONTOLOGY"
"Five Guys Style Fries","http://purl.obolibrary.org/obo/FOODON_03543892","GOOD","38920 - french fries from dough (efsa foodex2)","ONTOLOGY"
"Taste the Difference Superseed Soft White Farmhouse 800g","http://purl.obolibrary.org/obo/FOODON_00003424","MEDIUM","soft white wheat kernel","ONTOLOGY"
"Taste the Difference Superseed Soft White Farmhouse 800g","http://purl.obolibrary.org/obo/FOODON_03301038","MEDIUM","cheese (mexican-style soft white)","ONTOLOGY"
"Pizza, cheese and tomato, retail","http://purl.obolibrary.org/obo/FOODON_03304267","GOOD","spaghetti in tomato and cheese sauce","ONTOLOGY"
