Sample Name	Protocol REF	Assay Name	Raw Data File	Protocol REF	Derived Data File
FRI00406581	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406582	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406583	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406584	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406585	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406586	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406587	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406588	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406589	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406590	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406591	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406592	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406593	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406595	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406596	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406597	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406598	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406599	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406600	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406601	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406602	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406603	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406604	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406605	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406606	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406607	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406608	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406609	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406610	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406611	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406612	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406613	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406614	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406615	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406616	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406617	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406618	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406619	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406620	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406621	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406622	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406623	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406624	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406625	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406626	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406627	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406628	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406629	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406630	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406631	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406632	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406633	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406634	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406635	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406636	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406637	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406638	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406639	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406640	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406641	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406642	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406643	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406644	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406645	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406646	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406647	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406648	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406649	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406650	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406651	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406652	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406653	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406654	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406655	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406656	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406657	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406658	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406659	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406660	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406661	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406662	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406663	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406664	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406665	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406666	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406667	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406668	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406669	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406670	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406671	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406672	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406673	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406674	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406675	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406676	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406677	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406678	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406679	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406680	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406681	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406682	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406683	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406684	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406685	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406686	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406687	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406688	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406689	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
FRI00406690	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQ2FtMTM=_replicate>block>plot.txt
