Sample Name	Protocol REF	Assay Name	Raw Data File	Protocol REF	Derived Data File
1	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1108	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1116	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1133	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1159	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1166	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1182	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1224	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1264	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1269	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1278	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1302	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1314	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1337	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1406	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1430	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1432	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1437	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
1460	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
2	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
2071	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
2159	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
2164	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvQm9sMTI=_replicate>block>plot>plant.txt
