Sample Name	Protocol REF	Assay Name	Raw Data File	Protocol REF	Derived Data File
G72-01-1-1	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-10	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-100	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-101	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-102	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-103	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-104	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-105	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-106	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-107	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-108	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-109	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-11	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-110	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-111	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-112	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-113	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-114	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-115	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-116	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-117	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-118	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-119	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-12	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-120	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-121	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-122	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-123	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-124	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-125	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-126	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-127	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-128	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-129	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-13	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-130	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-131	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-132	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-133	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-134	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-135	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-136	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-137	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-138	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-139	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-14	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-140	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-141	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-142	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-143	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-144	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-145	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-146	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-147	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-148	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-149	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-15	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-150	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
G72-01-1-151	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTI=_replicate>block>plot.txt
