Sample Name	Protocol REF	Assay Name	Raw Data File	Protocol REF	Derived Data File
1	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
10	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
2	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
3	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
3051water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
3104water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
3114water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
3119water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
3136water_regimewatered	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
3137water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
3174water_regimewatered	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
3207water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
3211water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
3213water_regimewatered	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
4	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
5	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
6	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
7	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
8	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
9	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
R1014B01115	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
R1014B01136	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
R1014B01241	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
R1014B02127	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
R1014B02152	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
R1014B02155	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
R1014B02216	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvR2FpMTM=_replicate>block>plot>plant.txt
