Sample Name	Protocol REF	Assay Name	Raw Data File	Protocol REF	Derived Data File
1	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTI=_replicate>block>plot>plant.txt
10	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTI=_replicate>block>plot>plant.txt
2	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTI=_replicate>block>plot>plant.txt
3	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTI=_replicate>block>plot>plant.txt
3007water_regimewatered	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTI=_replicate>block>plot>plant.txt
3016water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTI=_replicate>block>plot>plant.txt
3035water_regimewatered	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTI=_replicate>block>plot>plant.txt
3072water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTI=_replicate>block>plot>plant.txt
3090water_regimewatered	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTI=_replicate>block>plot>plant.txt
3091water_regimewatered	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTI=_replicate>block>plot>plant.txt
3094water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTI=_replicate>block>plot>plant.txt
3140water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTI=_replicate>block>plot>plant.txt
3148water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTI=_replicate>block>plot>plant.txt
3154water_regimewatered	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTI=_replicate>block>plot>plant.txt
3168water_regimewatered	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTI=_replicate>block>plot>plant.txt
