Sample Name	Protocol REF	Assay Name	Raw Data File	Protocol REF	Derived Data File
400001	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400002	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400003	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400004	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400005	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400006	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400007	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400008	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400009	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400010	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400011	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400012	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400013	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400014	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400015	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400016	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400017	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400018	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400019	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400020	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400021	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400022	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400023	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400024	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400025	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400026	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400027	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400029	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400030	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400031	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400032	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400033	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400034	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400035	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400036	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400037	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400038	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400039	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400040	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400041	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400042	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400043	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400044	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400045	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400046	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400047	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
400048	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvS2FyMTM=_replicate>block>plot.txt
