Sample Name	Protocol REF	Assay Name	Raw Data File	Protocol REF	Derived Data File
1	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
10	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
1078	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
1088	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
1117	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
1142	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
1179	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
1208	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
1209	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
1215	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
1216	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
1260	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
3	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
3042water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
3059water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
3103water_regimewatered	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
3125water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
3140water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
3146water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
3181water_regimewatered	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
3220water_regimerainfed	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
3234water_regimewatered	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
326	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
334	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
410	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
435	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
449	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
457	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
464	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
5	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
584	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
6	Phenotyping	replicate>block>plot>plant	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTWFyMTM=_replicate>block>plot>plant.txt
