Sample Name	Protocol REF	Assay Name	Raw Data File	Protocol REF	Derived Data File
NXN2LAV1001001	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001002	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001003	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001004	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001005	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001006	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001007	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001008	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001009	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001010	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001011	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001012	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001026	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001027	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001028	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001029	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001030	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001031	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001032	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1001033	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1002001	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1002002	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1002003	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1002004	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
NXN2LAV1002005	Phenotyping	replicate>block>plot	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTM=_replicate>block>plot.txt
