observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
213025	4	1	213025	gnpis.lot:'3025'	4	1	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VZQ1RSVg==	Oh02_H	Oh02_H	2011	NA in endpoint					2201.6263627002				
213025	4	1	213025	gnpis.lot:'3025'	4	1	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VZQ1RSVg==	Oh02_H	Oh02_H	2011	NA in endpoint							297.1585882353		
213025	4	1	213025	gnpis.lot:'3025'	4	1	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VZQ1RSVg==	Oh02_H	Oh02_H	2011	NA in endpoint		71,7210402415							
213025	4	1	213025	gnpis.lot:'3025'	4	1	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VZQ1RSVg==	Oh02_H	Oh02_H	2011	NA in endpoint				75,0346631333					
213025	4	1	213025	gnpis.lot:'3025'	4	1	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VZQ1RSVg==	Oh02_H	Oh02_H	2011	NA in endpoint						6.5423218176			
213025	4	1	213025	gnpis.lot:'3025'	4	1	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VZQ1RSVg==	Oh02_H	Oh02_H	2011	NA in endpoint									250
213025	4	1	213025	gnpis.lot:'3025'	4	1	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VZQ1RSVg==	Oh02_H	Oh02_H	2011	NA in endpoint								NA	
213025	4	1	213025	gnpis.lot:'3025'	4	1	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VZQ1RSVg==	Oh02_H	Oh02_H	2011	NA in endpoint			115						
213025	4	1	213025	gnpis.lot:'3025'	4	1	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VZQ1RSVg==	Oh02_H	Oh02_H	2011	NA in endpoint	-3,31362289180								
223027	4	2	223027	gnpis.lot:'3027'	9	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNVWVA3NA==	B97_H	B97_H	2011	NA in endpoint					2050.2645502646				
223027	4	2	223027	gnpis.lot:'3027'	9	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNVWVA3NA==	B97_H	B97_H	2011	NA in endpoint							317.1764705882		
223027	4	2	223027	gnpis.lot:'3027'	9	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNVWVA3NA==	B97_H	B97_H	2011	NA in endpoint		71,7210402415							
223027	4	2	223027	gnpis.lot:'3027'	9	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNVWVA3NA==	B97_H	B97_H	2011	NA in endpoint				75,0346631333					
223027	4	2	223027	gnpis.lot:'3027'	9	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNVWVA3NA==	B97_H	B97_H	2011	NA in endpoint						6.5029567383			
223027	4	2	223027	gnpis.lot:'3027'	9	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNVWVA3NA==	B97_H	B97_H	2011	NA in endpoint									210
223027	4	2	223027	gnpis.lot:'3027'	9	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNVWVA3NA==	B97_H	B97_H	2011	NA in endpoint								NA	
223027	4	2	223027	gnpis.lot:'3027'	9	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNVWVA3NA==	B97_H	B97_H	2011	NA in endpoint			80						
223027	4	2	223027	gnpis.lot:'3027'	9	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNVWVA3NA==	B97_H	B97_H	2011	NA in endpoint	-3,31362289180								
213902	1	1	213902	gnpis.lot:'3902'	1	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FRV0UwMg==	PH207_H	PH207_H	2011	NA in endpoint					1940.6271084123				
213902	1	1	213902	gnpis.lot:'3902'	1	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FRV0UwMg==	PH207_H	PH207_H	2011	NA in endpoint							296.4223529412		
213902	1	1	213902	gnpis.lot:'3902'	1	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FRV0UwMg==	PH207_H	PH207_H	2011	NA in endpoint		64,2325822724							
213902	1	1	213902	gnpis.lot:'3902'	1	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FRV0UwMg==	PH207_H	PH207_H	2011	NA in endpoint				68,5803857831					
213902	1	1	213902	gnpis.lot:'3902'	1	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FRV0UwMg==	PH207_H	PH207_H	2011	NA in endpoint						5.7524525366			
213902	1	1	213902	gnpis.lot:'3902'	1	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FRV0UwMg==	PH207_H	PH207_H	2011	NA in endpoint									210
213902	1	1	213902	gnpis.lot:'3902'	1	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FRV0UwMg==	PH207_H	PH207_H	2011	NA in endpoint								NA	
213902	1	1	213902	gnpis.lot:'3902'	1	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FRV0UwMg==	PH207_H	PH207_H	2011	NA in endpoint			90						
213902	1	1	213902	gnpis.lot:'3902'	1	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FRV0UwMg==	PH207_H	PH207_H	2011	NA in endpoint	-4,34780351070								
223026	2	2	223026	gnpis.lot:'3026'	7	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pFUUZCVQ==	UH250_H	UH250_H	2011	NA in endpoint					1995.6677674799				
223026	2	2	223026	gnpis.lot:'3026'	7	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pFUUZCVQ==	UH250_H	UH250_H	2011	NA in endpoint							293.0567058824		
223026	2	2	223026	gnpis.lot:'3026'	7	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pFUUZCVQ==	UH250_H	UH250_H	2011	NA in endpoint		64,2325822724							
223026	2	2	223026	gnpis.lot:'3026'	7	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pFUUZCVQ==	UH250_H	UH250_H	2011	NA in endpoint				70,1485239435					
223026	2	2	223026	gnpis.lot:'3026'	7	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pFUUZCVQ==	UH250_H	UH250_H	2011	NA in endpoint						5.8484382197			
