observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
213202	1	1	213202	gnpis.lot:'3202'	10	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RUVElVQg==	Lo1274_H	Lo1274_H	2012	NA in endpoint					NA				
213202	1	1	213202	gnpis.lot:'3202'	10	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RUVElVQg==	Lo1274_H	Lo1274_H	2012	NA in endpoint							NA		
213202	1	1	213202	gnpis.lot:'3202'	10	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RUVElVQg==	Lo1274_H	Lo1274_H	2012	NA in endpoint		72,0909156051							
213202	1	1	213202	gnpis.lot:'3202'	10	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RUVElVQg==	Lo1274_H	Lo1274_H	2012	NA in endpoint				86,1419677247					
213202	1	1	213202	gnpis.lot:'3202'	10	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RUVElVQg==	Lo1274_H	Lo1274_H	2012	NA in endpoint						1.9141437908			
213202	1	1	213202	gnpis.lot:'3202'	10	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RUVElVQg==	Lo1274_H	Lo1274_H	2012	NA in endpoint									165
213202	1	1	213202	gnpis.lot:'3202'	10	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RUVElVQg==	Lo1274_H	Lo1274_H	2012	NA in endpoint								200	
213202	1	1	213202	gnpis.lot:'3202'	10	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RUVElVQg==	Lo1274_H	Lo1274_H	2012	NA in endpoint			90						
213202	1	1	213202	gnpis.lot:'3202'	10	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RUVElVQg==	Lo1274_H	Lo1274_H	2012	NA in endpoint	-14,05105211960								
233111	25	3	233111	gnpis.lot:'3111'	7	35	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dVWVM5Vg==	DKFAPW_H	DKFAPW_H	2012	NA in endpoint					NA				
233111	25	3	233111	gnpis.lot:'3111'	7	35	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dVWVM5Vg==	DKFAPW_H	DKFAPW_H	2012	NA in endpoint							NA		
233111	25	3	233111	gnpis.lot:'3111'	7	35	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dVWVM5Vg==	DKFAPW_H	DKFAPW_H	2012	NA in endpoint		68,9320610081							
233111	25	3	233111	gnpis.lot:'3111'	7	35	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dVWVM5Vg==	DKFAPW_H	DKFAPW_H	2012	NA in endpoint				80,0134329032					
233111	25	3	233111	gnpis.lot:'3111'	7	35	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dVWVM5Vg==	DKFAPW_H	DKFAPW_H	2012	NA in endpoint						2.6027513228			
233111	25	3	233111	gnpis.lot:'3111'	7	35	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dVWVM5Vg==	DKFAPW_H	DKFAPW_H	2012	NA in endpoint									150
233111	25	3	233111	gnpis.lot:'3111'	7	35	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dVWVM5Vg==	DKFAPW_H	DKFAPW_H	2012	NA in endpoint								180	
233111	25	3	233111	gnpis.lot:'3111'	7	35	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dVWVM5Vg==	DKFAPW_H	DKFAPW_H	2012	NA in endpoint			80						
233111	25	3	233111	gnpis.lot:'3111'	7	35	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dVWVM5Vg==	DKFAPW_H	DKFAPW_H	2012	NA in endpoint	-11,08137189510								
213173	21	1	213173	gnpis.lot:'3173'	15	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01SNk1JTQ==	LH60_H	LH60_H	2012	NA in endpoint					NA				
213173	21	1	213173	gnpis.lot:'3173'	15	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01SNk1JTQ==	LH60_H	LH60_H	2012	NA in endpoint							NA		
