observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
FRI00406958	23	1	FRI00406958	gnpis.lot:'3022'	6	15	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JGVFZKMw==	F1808_H	F1808_H	2013	NA in endpoint					1718.02054155				
FRI00406958	23	1	FRI00406958	gnpis.lot:'3022'	6	15	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JGVFZKMw==	F1808_H	F1808_H	2013	NA in endpoint							301.72		
FRI00406958	23	1	FRI00406958	gnpis.lot:'3022'	6	15	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JGVFZKMw==	F1808_H	F1808_H	2013	NA in endpoint		72,6945131971							
FRI00406958	23	1	FRI00406958	gnpis.lot:'3022'	6	15	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JGVFZKMw==	F1808_H	F1808_H	2013	NA in endpoint				74,3289392431					
FRI00406958	23	1	FRI00406958	gnpis.lot:'3022'	6	15	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JGVFZKMw==	F1808_H	F1808_H	2013	NA in endpoint						5.183611578			
FRI00406958	23	1	FRI00406958	gnpis.lot:'3022'	6	15	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JGVFZKMw==	F1808_H	F1808_H	2013	NA in endpoint									265
FRI00406958	23	1	FRI00406958	gnpis.lot:'3022'	6	15	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JGVFZKMw==	F1808_H	F1808_H	2013	NA in endpoint								300	
FRI00406958	23	1	FRI00406958	gnpis.lot:'3022'	6	15	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JGVFZKMw==	F1808_H	F1808_H	2013	NA in endpoint			130						
FRI00406958	23	1	FRI00406958	gnpis.lot:'3022'	6	15	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JGVFZKMw==	F1808_H	F1808_H	2013	NA in endpoint	-1,63442604600								
FRI00407914	15	2	FRI00407914	gnpis.lot:'3135'	7	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint					1319.2239858907				
FRI00407914	15	2	FRI00407914	gnpis.lot:'3135'	7	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint							255.6352941176		
FRI00407914	15	2	FRI00407914	gnpis.lot:'3135'	7	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint		72,6945131971							
FRI00407914	15	2	FRI00407914	gnpis.lot:'3135'	7	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint				81,1066458669					
FRI00407914	15	2	FRI00407914	gnpis.lot:'3135'	7	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint						3.3724021164			
FRI00407914	15	2	FRI00407914	gnpis.lot:'3135'	7	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint									190
FRI00407914	15	2	FRI00407914	gnpis.lot:'3135'	7	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint								230	
FRI00407914	15	2	FRI00407914	gnpis.lot:'3135'	7	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint			100						
