observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
402267	17	2	402267	gnpis.lot:'3154'	17	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint					398.5969387755				
402267	17	2	402267	gnpis.lot:'3154'	17	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint							239.8836363636		
402267	17	2	402267	gnpis.lot:'3154'	17	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint		71,3522943923							
402267	17	2	402267	gnpis.lot:'3154'	17	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint				77,8429481934					
402267	17	2	402267	gnpis.lot:'3154'	17	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint						0.9561688312			
402267	17	2	402267	gnpis.lot:'3154'	17	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint									100
402267	17	2	402267	gnpis.lot:'3154'	17	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint								140	
402267	17	2	402267	gnpis.lot:'3154'	17	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint			50						
402267	17	2	402267	gnpis.lot:'3154'	17	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint	-6,49065380110								
400784	14	1	400784	gnpis.lot:'3253'	14	9	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NVNDg2Rg==	W182E_H	W182E_H	2012	NA in endpoint					1599.4493035309				
400784	14	1	400784	gnpis.lot:'3253'	14	9	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NVNDg2Rg==	W182E_H	W182E_H	2012	NA in endpoint							244.1817210378		
