observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Tnight_Early	Ri_Early	MFLW_D20deg	Tnight_Fill	Psi_Flo	FFLW_D20deg	Tmax_Flo	GN	Tnight_Flo	Psi_Fill	Tmax_Fill	GY_Adj_tha	KW	Ri_Fill	tassel_height	Tmax_Early	Ri_Flo	plant_height
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint								246.3470587053										
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint													69.374338448					
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint			76.9912500173															
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint						113.2826384042												
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint												95.1167372324						
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint																		143.8072222453
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint															43.9111184622			
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint	18.6789908824																	
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint									22.9413814933									
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint				20.4286409059														
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint		130.529																
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint																	302.294	
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint														838.24				
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint					-113.1770833333													
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint										-10.6979166667								
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint																34.5420635702		
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint							35.9489241454											
3006water_regimerainfed	gnpis.lot:'3006'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZMRTFSQQ==	EZ47_H	EZ47_H	2012	NA in endpoint											33.2479417722							
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint								227.1858147731										
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint													66.977038252					
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint			69.3914094595															
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint						142.6206329897												
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint												2166.9666354327						
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint																		179.2568572564
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint															85.8474171005			
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint	18.7334623909																	
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint									22.7804550838									
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint				20.8064177112														
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint		148.273																
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint																	236.272	
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint														910.02				
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint					-46.2894736842													
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint										-18.3571428571								
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint																34.6229305046		
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint							35.9308031228											
3154water_regimewatered	gnpis.lot:'3154'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FZSk0zSA==	F354_H	F354_H	2012	NA in endpoint											33.5409863389							
3052water_regimerainfed	gnpis.lot:'3052'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wWFc2Wg==	N25_H	N25_H	2012	NA in endpoint								262.6749107188										
3052water_regimerainfed	gnpis.lot:'3052'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wWFc2Wg==	N25_H	N25_H	2012	NA in endpoint													71.0663303023					
3052water_regimerainfed	gnpis.lot:'3052'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wWFc2Wg==	N25_H	N25_H	2012	NA in endpoint			81.5685836418															
3052water_regimerainfed	gnpis.lot:'3052'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wWFc2Wg==	N25_H	N25_H	2012	NA in endpoint						109.8783593248												
3052water_regimerainfed	gnpis.lot:'3052'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wWFc2Wg==	N25_H	N25_H	2012	NA in endpoint												2.973226861						
3052water_regimerainfed	gnpis.lot:'3052'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wWFc2Wg==	N25_H	N25_H	2012	NA in endpoint																		144.7139456948
3052water_regimerainfed	gnpis.lot:'3052'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wWFc2Wg==	N25_H	N25_H	2012	NA in endpoint															50.6286839167			
3052water_regimerainfed	gnpis.lot:'3052'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wWFc2Wg==	N25_H	N25_H	2012	NA in endpoint	19.0853044961																	
3052water_regimerainfed	gnpis.lot:'3052'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wWFc2Wg==	N25_H	N25_H	2012	NA in endpoint									23.1301133048									
3052water_regimerainfed	gnpis.lot:'3052'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wWFc2Wg==	N25_H	N25_H	2012	NA in endpoint				20.1906201688														
3052water_regimerainfed	gnpis.lot:'3052'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wWFc2Wg==	N25_H	N25_H	2012	NA in endpoint		165.702																
3052water_regimerainfed	gnpis.lot:'3052'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wWFc2Wg==	N25_H	N25_H	2012	NA in endpoint																	335.349	
3052water_regimerainfed	gnpis.lot:'3052'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wWFc2Wg==	N25_H	N25_H	2012	NA in endpoint														763.306				
3052water_regimerainfed	gnpis.lot:'3052'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wWFc2Wg==	N25_H	N25_H	2012	NA in endpoint					-101.33													
