observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
2395	21	2	2395	gnpis.lot:'3162'	11	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BYRUFBVQ==	I205_H	I205_H	2012	NA in endpoint					800.9359253807				
2395	21	2	2395	gnpis.lot:'3162'	11	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BYRUFBVQ==	I205_H	I205_H	2012	NA in endpoint							196.0941176		
2395	21	2	2395	gnpis.lot:'3162'	11	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BYRUFBVQ==	I205_H	I205_H	2012	NA in endpoint		70,2072968504							
2395	21	2	2395	gnpis.lot:'3162'	11	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BYRUFBVQ==	I205_H	I205_H	2012	NA in endpoint				75,3248612185					
2395	21	2	2395	gnpis.lot:'3162'	11	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BYRUFBVQ==	I205_H	I205_H	2012	NA in endpoint						1.5705882354			
2395	21	2	2395	gnpis.lot:'3162'	11	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BYRUFBVQ==	I205_H	I205_H	2012	NA in endpoint									180.6
2395	21	2	2395	gnpis.lot:'3162'	11	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BYRUFBVQ==	I205_H	I205_H	2012	NA in endpoint								226.6	
2395	21	2	2395	gnpis.lot:'3162'	11	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BYRUFBVQ==	I205_H	I205_H	2012	NA in endpoint			92						
2395	21	2	2395	gnpis.lot:'3162'	11	23	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BYRUFBVQ==	I205_H	I205_H	2012	NA in endpoint	-5,11756436810								
2423	7	2	2423	gnpis.lot:'3113'	4	24	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tOMkpJNQ==	DKMBST_H	DKMBST_H	2012	NA in endpoint					981.7737694754				
2423	7	2	2423	gnpis.lot:'3113'	4	24	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tOMkpJNQ==	DKMBST_H	DKMBST_H	2012	NA in endpoint							186.5830588		
2423	7	2	2423	gnpis.lot:'3113'	4	24	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tOMkpJNQ==	DKMBST_H	DKMBST_H	2012	NA in endpoint		71,890560176							
2423	7	2	2423	gnpis.lot:'3113'	4	24	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tOMkpJNQ==	DKMBST_H	DKMBST_H	2012	NA in endpoint				78,7365616513					
2423	7	2	2423	gnpis.lot:'3113'	4	24	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tOMkpJNQ==	DKMBST_H	DKMBST_H	2012	NA in endpoint						1.8318235296			
2423	7	2	2423	gnpis.lot:'3113'	4	24	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tOMkpJNQ==	DKMBST_H	DKMBST_H	2012	NA in endpoint									190.6
