observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	MFLW_D20deg	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
3056water_regimewatered	gnpis.lot:'3056'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NHWlozRg==	DK78371A_H	DK78371A_H	2012	NA in endpoint			278.7341132728				
3056water_regimewatered	gnpis.lot:'3056'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NHWlozRg==	DK78371A_H	DK78371A_H	2012	NA in endpoint					65.037331883		
3056water_regimewatered	gnpis.lot:'3056'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NHWlozRg==	DK78371A_H	DK78371A_H	2012	NA in endpoint	74.5282212735						
3056water_regimewatered	gnpis.lot:'3056'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NHWlozRg==	DK78371A_H	DK78371A_H	2012	NA in endpoint		192.3987980663					
3056water_regimewatered	gnpis.lot:'3056'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NHWlozRg==	DK78371A_H	DK78371A_H	2012	NA in endpoint				909.356408065			
3056water_regimewatered	gnpis.lot:'3056'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NHWlozRg==	DK78371A_H	DK78371A_H	2012	NA in endpoint							247.2961910683
3056water_regimewatered	gnpis.lot:'3056'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NHWlozRg==	DK78371A_H	DK78371A_H	2012	NA in endpoint						100.4554337734	
3112water_regimewatered	gnpis.lot:'3112'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0pIREJVMw==	DKIBO2_H	DKIBO2_H	2012	NA in endpoint			263.1801112643				
3112water_regimewatered	gnpis.lot:'3112'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0pIREJVMw==	DKIBO2_H	DKIBO2_H	2012	NA in endpoint					61.4408871488		
3112water_regimewatered	gnpis.lot:'3112'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0pIREJVMw==	DKIBO2_H	DKIBO2_H	2012	NA in endpoint	63.0968846559						
3112water_regimewatered	gnpis.lot:'3112'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0pIREJVMw==	DKIBO2_H	DKIBO2_H	2012	NA in endpoint		188.76843091					
3112water_regimewatered	gnpis.lot:'3112'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0pIREJVMw==	DKIBO2_H	DKIBO2_H	2012	NA in endpoint				1032.7328746109			
3112water_regimewatered	gnpis.lot:'3112'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0pIREJVMw==	DKIBO2_H	DKIBO2_H	2012	NA in endpoint							240.2789345684
3112water_regimewatered	gnpis.lot:'3112'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0pIREJVMw==	DKIBO2_H	DKIBO2_H	2012	NA in endpoint						101.5581406686	
3153water_regimewatered	gnpis.lot:'3153'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tWV0FCQw==	F252_H	F252_H	2012	NA in endpoint			202.8079186946				
3153water_regimewatered	gnpis.lot:'3153'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tWV0FCQw==	F252_H	F252_H	2012	NA in endpoint					61.6416393941		
3153water_regimewatered	gnpis.lot:'3153'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tWV0FCQw==	F252_H	F252_H	2012	NA in endpoint	63.1055456286						
3153water_regimewatered	gnpis.lot:'3153'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tWV0FCQw==	F252_H	F252_H	2012	NA in endpoint		181.7386905088					
3153water_regimewatered	gnpis.lot:'3153'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tWV0FCQw==	F252_H	F252_H	2012	NA in endpoint				610.3373061997			
3153water_regimewatered	gnpis.lot:'3153'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tWV0FCQw==	F252_H	F252_H	2012	NA in endpoint							225.5887384873
3153water_regimewatered	gnpis.lot:'3153'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tWV0FCQw==	F252_H	F252_H	2012	NA in endpoint						95.5054619619	
3181water_regimerainfed	gnpis.lot:'3181'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzA4OUc0Tw==	Lo1087_H	Lo1087_H	2012	NA in endpoint			199.0626847757				
3181water_regimerainfed	gnpis.lot:'3181'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzA4OUc0Tw==	Lo1087_H	Lo1087_H	2012	NA in endpoint					77.2940303479		
3181water_regimerainfed	gnpis.lot:'3181'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzA4OUc0Tw==	Lo1087_H	Lo1087_H	2012	NA in endpoint	82.1529739972						
