observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
G72-01-1-180	2	1	G72-01-1-180	gnpis.lot:'3185'	1	9	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lHTzBGUg==	Lo1106_H	Lo1106_H	2012	NA in endpoint					1086.3350485992				
G72-01-1-180	2	1	G72-01-1-180	gnpis.lot:'3185'	1	9	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lHTzBGUg==	Lo1106_H	Lo1106_H	2012	NA in endpoint							228.0558823529		
G72-01-1-180	2	1	G72-01-1-180	gnpis.lot:'3185'	1	9	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lHTzBGUg==	Lo1106_H	Lo1106_H	2012	NA in endpoint		69,1907382303							
G72-01-1-180	2	1	G72-01-1-180	gnpis.lot:'3185'	1	9	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lHTzBGUg==	Lo1106_H	Lo1106_H	2012	NA in endpoint				80,2021890789					
G72-01-1-180	2	1	G72-01-1-180	gnpis.lot:'3185'	1	9	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lHTzBGUg==	Lo1106_H	Lo1106_H	2012	NA in endpoint						2.4774509804			
G72-01-1-180	2	1	G72-01-1-180	gnpis.lot:'3185'	1	9	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lHTzBGUg==	Lo1106_H	Lo1106_H	2012	NA in endpoint									150
G72-01-1-180	2	1	G72-01-1-180	gnpis.lot:'3185'	1	9	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lHTzBGUg==	Lo1106_H	Lo1106_H	2012	NA in endpoint								215	
G72-01-1-180	2	1	G72-01-1-180	gnpis.lot:'3185'	1	9	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lHTzBGUg==	Lo1106_H	Lo1106_H	2012	NA in endpoint			105						
G72-01-1-180	2	1	G72-01-1-180	gnpis.lot:'3185'	1	9	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lHTzBGUg==	Lo1106_H	Lo1106_H	2012	NA in endpoint	-11,01145084860								
G72-01-1-247	5	1	G72-01-1-247	gnpis.lot:'3252'	2	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dCVEROTQ==	W117_H	W117_H	2012	NA in endpoint					848.7654320988				
G72-01-1-247	5	1	G72-01-1-247	gnpis.lot:'3252'	2	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dCVEROTQ==	W117_H	W117_H	2012	NA in endpoint							250.8776470588		
G72-01-1-247	5	1	G72-01-1-247	gnpis.lot:'3252'	2	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dCVEROTQ==	W117_H	W117_H	2012	NA in endpoint		63,3048330487							
G72-01-1-247	5	1	G72-01-1-247	gnpis.lot:'3252'	2	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dCVEROTQ==	W117_H	W117_H	2012	NA in endpoint				78,9055366062					
G72-01-1-247	5	1	G72-01-1-247	gnpis.lot:'3252'	2	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dCVEROTQ==	W117_H	W117_H	2012	NA in endpoint						2.1293627451			
G72-01-1-247	5	1	G72-01-1-247	gnpis.lot:'3252'	2	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dCVEROTQ==	W117_H	W117_H	2012	NA in endpoint									155
G72-01-1-247	5	1	G72-01-1-247	gnpis.lot:'3252'	2	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dCVEROTQ==	W117_H	W117_H	2012	NA in endpoint								190	
G72-01-1-247	5	1	G72-01-1-247	gnpis.lot:'3252'	2	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dCVEROTQ==	W117_H	W117_H	2012	NA in endpoint			105						
G72-01-1-247	5	1	G72-01-1-247	gnpis.lot:'3252'	2	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dCVEROTQ==	W117_H	W117_H	2012	NA in endpoint	-15,60070355750								
