observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Tnight_Early	Ri_Early	MFLW_D20deg	Tnight_Fill	Psi_Flo	FFLW_D20deg	Tmax_Flo	GN	Tnight_Flo	Psi_Fill	Tmax_Fill	GY_Adj_tha	KW	Ri_Fill	tassel_height	Tmax_Early	Ri_Flo	plant_height
3207water_regimerainfed	gnpis.lot:'3207'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lMNVI0VQ==	Lo1290_H	Lo1290_H	2012	NA in endpoint								326.0130392075										
3207water_regimerainfed	gnpis.lot:'3207'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lMNVI0VQ==	Lo1290_H	Lo1290_H	2012	NA in endpoint													67.6554380088					
3207water_regimerainfed	gnpis.lot:'3207'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lMNVI0VQ==	Lo1290_H	Lo1290_H	2012	NA in endpoint			81.6135996655															
3207water_regimerainfed	gnpis.lot:'3207'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lMNVI0VQ==	Lo1290_H	Lo1290_H	2012	NA in endpoint						162.1687887031												
3207water_regimerainfed	gnpis.lot:'3207'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lMNVI0VQ==	Lo1290_H	Lo1290_H	2012	NA in endpoint												987.4280539736						
3207water_regimerainfed	gnpis.lot:'3207'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lMNVI0VQ==	Lo1290_H	Lo1290_H	2012	NA in endpoint																		205.4994061582
3207water_regimerainfed	gnpis.lot:'3207'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lMNVI0VQ==	Lo1290_H	Lo1290_H	2012	NA in endpoint															92.6009169522			
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint								272.2158361692										
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint													65.6349143085					
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint			66.7635781986															
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint						234.168486396												
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint												4357.932975578						
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint																		288.9073996326
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint															118.5426308351			
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint	17.8503858586																	
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint									18.0838344988									
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint				17.0439396396														
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint		222.925																
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint																	284.339	
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint														963.435				
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint					-21.1298076923													
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint										-9.9206989247								
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint																26.5814758741		
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint							27.189817762											
3096water_regimewatered	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint											25.4644615555							
3091water_regimerainfed	gnpis.lot:'3091'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Q2QThWWg==	PHK76_H	PHK76_H	2012	NA in endpoint								287.5757085212										
3091water_regimerainfed	gnpis.lot:'3091'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Q2QThWWg==	PHK76_H	PHK76_H	2012	NA in endpoint													70.63870523					
3091water_regimerainfed	gnpis.lot:'3091'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Q2QThWWg==	PHK76_H	PHK76_H	2012	NA in endpoint			81.9790046967															
3091water_regimerainfed	gnpis.lot:'3091'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Q2QThWWg==	PHK76_H	PHK76_H	2012	NA in endpoint						157.4823061535												
3091water_regimerainfed	gnpis.lot:'3091'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Q2QThWWg==	PHK76_H	PHK76_H	2012	NA in endpoint												1652.854486654						
3091water_regimerainfed	gnpis.lot:'3091'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Q2QThWWg==	PHK76_H	PHK76_H	2012	NA in endpoint																		201.1802170903
3091water_regimerainfed	gnpis.lot:'3091'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Q2QThWWg==	PHK76_H	PHK76_H	2012	NA in endpoint															96.2469090467			
3173water_regimerainfed	gnpis.lot:'3173'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01SNk1JTQ==	LH60_H	LH60_H	2012	NA in endpoint								334.7835036097										
3173water_regimerainfed	gnpis.lot:'3173'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01SNk1JTQ==	LH60_H	LH60_H	2012	NA in endpoint													70.2565222787					
3173water_regimerainfed	gnpis.lot:'3173'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01SNk1JTQ==	LH60_H	LH60_H	2012	NA in endpoint			81.8730538864															
3173water_regimerainfed	gnpis.lot:'3173'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01SNk1JTQ==	LH60_H	LH60_H	2012	NA in endpoint						152.465741907												
3173water_regimerainfed	gnpis.lot:'3173'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01SNk1JTQ==	LH60_H	LH60_H	2012	NA in endpoint												923.731845863						
3173water_regimerainfed	gnpis.lot:'3173'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01SNk1JTQ==	LH60_H	LH60_H	2012	NA in endpoint																		190.2374727482
3173water_regimerainfed	gnpis.lot:'3173'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01SNk1JTQ==	LH60_H	LH60_H	2012	NA in endpoint															95.1091239139			
3096water_regimerainfed	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint								274.2938284831										
3096water_regimerainfed	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint													65.3599539556					
3096water_regimerainfed	gnpis.lot:'3096'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2012	NA in endpoint			81.35381485															
