observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
R1024B01227	1	2	R1024B01227	gnpis.lot:'3237'	57	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05BRzE3Wg==	UH_6102_H	UH_6102_H	2013	NA in endpoint					1600.6097560976				
R1024B01227	1	2	R1024B01227	gnpis.lot:'3237'	57	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05BRzE3Wg==	UH_6102_H	UH_6102_H	2013	NA in endpoint							367.0705882353		
R1024B01227	1	2	R1024B01227	gnpis.lot:'3237'	57	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05BRzE3Wg==	UH_6102_H	UH_6102_H	2013	NA in endpoint		75,3318871563							
R1024B01227	1	2	R1024B01227	gnpis.lot:'3237'	57	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05BRzE3Wg==	UH_6102_H	UH_6102_H	2013	NA in endpoint				81,197629786					
R1024B01227	1	2	R1024B01227	gnpis.lot:'3237'	57	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05BRzE3Wg==	UH_6102_H	UH_6102_H	2013	NA in endpoint						5.8753676471			
R1024B01227	1	2	R1024B01227	gnpis.lot:'3237'	57	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05BRzE3Wg==	UH_6102_H	UH_6102_H	2013	NA in endpoint									155
R1024B01227	1	2	R1024B01227	gnpis.lot:'3237'	57	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05BRzE3Wg==	UH_6102_H	UH_6102_H	2013	NA in endpoint								165	
R1024B01227	1	2	R1024B01227	gnpis.lot:'3237'	57	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05BRzE3Wg==	UH_6102_H	UH_6102_H	2013	NA in endpoint			60						
R1024B01227	1	2	R1024B01227	gnpis.lot:'3237'	57	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05BRzE3Wg==	UH_6102_H	UH_6102_H	2013	NA in endpoint	-5,86574262970								
R1024B02135	18	2	R1024B02135	gnpis.lot:'3142'	64	19	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01MODFFQw==	F7019_H	F7019_H	2013	NA in endpoint					2537.3931623932				
R1024B02135	18	2	R1024B02135	gnpis.lot:'3142'	64	19	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01MODFFQw==	F7019_H	F7019_H	2013	NA in endpoint							351.4588235294		
R1024B02135	18	2	R1024B02135	gnpis.lot:'3142'	64	19	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01MODFFQw==	F7019_H	F7019_H	2013	NA in endpoint		76,907533587							
R1024B02135	18	2	R1024B02135	gnpis.lot:'3142'	64	19	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01MODFFQw==	F7019_H	F7019_H	2013	NA in endpoint				78,3268313656					
