observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Tnight_Early	Ri_Early	MFLW_D20deg	Tnight_Fill	Psi_Flo	FFLW_D20deg	Tmax_Flo	GN	Tnight_Flo	Psi_Fill	Tmax_Fill	GY_Adj_tha	KW	Ri_Fill	tassel_height	Tmax_Early	Ri_Flo	plant_height
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint								398.358075826										
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint													81.1871890149					
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint			84.7858233721															
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint						164.2496706456												
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint												2239.0896021287						
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint																		202.1654693782
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint															81.6109099271			
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint	16.7824378399																	
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint									20.591758969									
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint				15.8339619061														
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint		287.702																
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint																	245.062	
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint														693.851				
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint					-65.6034482759													
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint										-37.0762711864								
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint																30.1340106668		
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint							34.8214112345											
3214water_regimerainfed	gnpis.lot:'3214'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY3RkhRSg==	N22_H	N22_H	2013	NA in endpoint											28.0344595412							
3040water_regimerainfed	gnpis.lot:'3040'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0oxV0tNQg==	F7001_H	F7001_H	2013	NA in endpoint								402.7127185229										
3040water_regimerainfed	gnpis.lot:'3040'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0oxV0tNQg==	F7001_H	F7001_H	2013	NA in endpoint													80.7264599508					
3040water_regimerainfed	gnpis.lot:'3040'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0oxV0tNQg==	F7001_H	F7001_H	2013	NA in endpoint			85.6423815353															
3040water_regimerainfed	gnpis.lot:'3040'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0oxV0tNQg==	F7001_H	F7001_H	2013	NA in endpoint						176.9813678278												
