observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
YCXGDTM1077039	5	1	YCXGDTM1077039	gnpis.lot:'3183'	77	39	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint					3285.7466576025				
YCXGDTM1077039	5	1	YCXGDTM1077039	gnpis.lot:'3183'	77	39	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint							327.0811764706		
YCXGDTM1077039	5	1	YCXGDTM1077039	gnpis.lot:'3183'	77	39	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint		NA							
YCXGDTM1077039	5	1	YCXGDTM1077039	gnpis.lot:'3183'	77	39	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint				NA					
YCXGDTM1077039	5	1	YCXGDTM1077039	gnpis.lot:'3183'	77	39	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint						10.7470588235			
YCXGDTM1077039	5	1	YCXGDTM1077039	gnpis.lot:'3183'	77	39	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint									290
YCXGDTM1077039	5	1	YCXGDTM1077039	gnpis.lot:'3183'	77	39	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint								345	
YCXGDTM1077039	5	1	YCXGDTM1077039	gnpis.lot:'3183'	77	39	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint			135						
YCXGDTM1087020	14	4	YCXGDTM1087020	gnpis.lot:'3158'	87	20	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dEV0lOUw==	HMV5347_H	HMV5347_H	2013	NA in endpoint					3214.6389713155				
YCXGDTM1087020	14	4	YCXGDTM1087020	gnpis.lot:'3158'	87	20	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dEV0lOUw==	HMV5347_H	HMV5347_H	2013	NA in endpoint							246.5055882353		
YCXGDTM1087020	14	4	YCXGDTM1087020	gnpis.lot:'3158'	87	20	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dEV0lOUw==	HMV5347_H	HMV5347_H	2013	NA in endpoint		65,0109583653							
YCXGDTM1087020	14	4	YCXGDTM1087020	gnpis.lot:'3158'	87	20	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dEV0lOUw==	HMV5347_H	HMV5347_H	2013	NA in endpoint				69,2512954927					
YCXGDTM1087020	14	4	YCXGDTM1087020	gnpis.lot:'3158'	87	20	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dEV0lOUw==	HMV5347_H	HMV5347_H	2013	NA in endpoint						7.9242647059			
