observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Tnight_Early	Ri_Early	MFLW_D20deg	Tnight_Fill	Psi_Flo	FFLW_D20deg	Tmax_Flo	GN	Tnight_Flo	Psi_Fill	Tmax_Fill	GY_Adj_tha	KW	Ri_Fill	tassel_height	Tmax_Early	Ri_Flo	plant_height
3047water_regimerainfed	gnpis.lot:'3047'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FMWFNHWQ==	W9_H	W9_H	2013	NA in endpoint								255.8997508266										
3047water_regimerainfed	gnpis.lot:'3047'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FMWFNHWQ==	W9_H	W9_H	2013	NA in endpoint													67.0103409569					
3047water_regimerainfed	gnpis.lot:'3047'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FMWFNHWQ==	W9_H	W9_H	2013	NA in endpoint			71.2558731026															
3047water_regimerainfed	gnpis.lot:'3047'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FMWFNHWQ==	W9_H	W9_H	2013	NA in endpoint						165.5698321273												
3047water_regimerainfed	gnpis.lot:'3047'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FMWFNHWQ==	W9_H	W9_H	2013	NA in endpoint												2561.7074900868						
3047water_regimerainfed	gnpis.lot:'3047'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FMWFNHWQ==	W9_H	W9_H	2013	NA in endpoint																		223.6921201496
3047water_regimerainfed	gnpis.lot:'3047'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FMWFNHWQ==	W9_H	W9_H	2013	NA in endpoint															94.6788502802			
3047water_regimerainfed	gnpis.lot:'3047'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FMWFNHWQ==	W9_H	W9_H	2013	NA in endpoint	16.0841477273																	
3047water_regimerainfed	gnpis.lot:'3047'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FMWFNHWQ==	W9_H	W9_H	2013	NA in endpoint									15.2551575758									
3047water_regimerainfed	gnpis.lot:'3047'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FMWFNHWQ==	W9_H	W9_H	2013	NA in endpoint				13.4251854754														
