observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
WD2075	11	2	WD2075	gnpis.lot:'3136'	22	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJCRUVUTQ==	F04701_H	F04701_H	2012	NA in endpoint					1627.9384407238				
WD2075	11	2	WD2075	gnpis.lot:'3136'	22	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJCRUVUTQ==	F04701_H	F04701_H	2012	NA in endpoint							324.4205882353		
WD2075	11	2	WD2075	gnpis.lot:'3136'	22	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJCRUVUTQ==	F04701_H	F04701_H	2012	NA in endpoint		71,0427983458							
WD2075	11	2	WD2075	gnpis.lot:'3136'	22	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJCRUVUTQ==	F04701_H	F04701_H	2012	NA in endpoint				73,3721410878					
WD2075	11	2	WD2075	gnpis.lot:'3136'	22	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJCRUVUTQ==	F04701_H	F04701_H	2012	NA in endpoint						5.2813674655			
WD2075	11	2	WD2075	gnpis.lot:'3136'	22	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJCRUVUTQ==	F04701_H	F04701_H	2012	NA in endpoint									208
WD2075	11	2	WD2075	gnpis.lot:'3136'	22	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJCRUVUTQ==	F04701_H	F04701_H	2012	NA in endpoint								265	
WD2075	11	2	WD2075	gnpis.lot:'3136'	22	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJCRUVUTQ==	F04701_H	F04701_H	2012	NA in endpoint			120						
WD2075	11	2	WD2075	gnpis.lot:'3136'	22	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJCRUVUTQ==	F04701_H	F04701_H	2012	NA in endpoint	-2,32934274200								
WD3115	17	3	WD3115	gnpis.lot:'3245'	42	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint					1809.9725166863				
WD3115	17	3	WD3115	gnpis.lot:'3245'	42	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint							268.7501176471		
WD3115	17	3	WD3115	gnpis.lot:'3245'	42	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint		63,4177441029							
WD3115	17	3	WD3115	gnpis.lot:'3245'	42	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint				65,7698661507					
WD3115	17	3	WD3115	gnpis.lot:'3245'	42	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint						4.864303268			
WD3115	17	3	WD3115	gnpis.lot:'3245'	42	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint									201
WD3115	17	3	WD3115	gnpis.lot:'3245'	42	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint								250	
WD3115	17	3	WD3115	gnpis.lot:'3245'	42	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint			121						
WD3115	17	3	WD3115	gnpis.lot:'3245'	42	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint	-2,35212204780								
WD2180	26	2	WD2180	gnpis.lot:'3065'	29	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hPTU9YTw==	F918_H	F918_H	2012	NA in endpoint					1530.4164267895				
WD2180	26	2	WD2180	gnpis.lot:'3065'	29	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hPTU9YTw==	F918_H	F918_H	2012	NA in endpoint							332.3687058824		
WD2180	26	2	WD2180	gnpis.lot:'3065'	29	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hPTU9YTw==	F918_H	F918_H	2012	NA in endpoint		69,553958451							
WD2180	26	2	WD2180	gnpis.lot:'3065'	29	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hPTU9YTw==	F918_H	F918_H	2012	NA in endpoint				73,3721410878					
WD2180	26	2	WD2180	gnpis.lot:'3065'	29	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hPTU9YTw==	F918_H	F918_H	2012	NA in endpoint						5.0866252723			
