observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Tnight_Early	Ri_Early	MFLW_D20deg	Tnight_Fill	Psi_Flo	FFLW_D20deg	Tmax_Flo	GN	Tnight_Flo	Psi_Fill	Tmax_Fill	GY_Adj_tha	KW	Ri_Fill	tassel_height	Tmax_Early	Ri_Flo	plant_height
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint								349.4994706975										
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint													69.8318342888					
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint			71.0551855761															
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint						228.3677968326												
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint												2495.5183945448						
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint																		285.0725353591
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint															133.0316566176			
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint	20.4726346835																	
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint									19.094315474									
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint				17.4492640831														
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint		136.298																
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint																	172.125	
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint														986.457				
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint					-21.2638888889													
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint										-40.6560846561								
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint																35.6684759736		
3175water_regimewatered	gnpis.lot:'3175'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RXNzZRWA==	Lo1016_H	Lo1016_H	2012	NA in endpoint							33.1724855256											
