observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
WD1096	17	1	WD1096	gnpis.lot:'3138'	5	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xUOUVCUA==	F05101_H	F05101_H	2013	NA in endpoint					2892.4140339041				
WD1096	17	1	WD1096	gnpis.lot:'3138'	5	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xUOUVCUA==	F05101_H	F05101_H	2013	NA in endpoint							257.1472070588		
WD1096	17	1	WD1096	gnpis.lot:'3138'	5	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xUOUVCUA==	F05101_H	F05101_H	2013	NA in endpoint		69,944300775							
WD1096	17	1	WD1096	gnpis.lot:'3138'	5	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xUOUVCUA==	F05101_H	F05101_H	2013	NA in endpoint				69,944300775					
WD1096	17	1	WD1096	gnpis.lot:'3138'	5	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xUOUVCUA==	F05101_H	F05101_H	2013	NA in endpoint						7.4377619048			
WD1096	17	1	WD1096	gnpis.lot:'3138'	5	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xUOUVCUA==	F05101_H	F05101_H	2013	NA in endpoint									201
WD1096	17	1	WD1096	gnpis.lot:'3138'	5	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xUOUVCUA==	F05101_H	F05101_H	2013	NA in endpoint								246	
WD1096	17	1	WD1096	gnpis.lot:'3138'	5	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xUOUVCUA==	F05101_H	F05101_H	2013	NA in endpoint			99						
WD1096	17	1	WD1096	gnpis.lot:'3138'	5	12	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xUOUVCUA==	F05101_H	F05101_H	2013	NA in endpoint	0,00000000000								
WD2053	15	2	WD2053	gnpis.lot:'3147'	15	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xCTlo0UA==	F874_H	F874_H	2013	NA in endpoint					2266.4075745206				
WD2053	15	2	WD2053	gnpis.lot:'3147'	15	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xCTlo0UA==	F874_H	F874_H	2013	NA in endpoint							245.8458682353		
WD2053	15	2	WD2053	gnpis.lot:'3147'	15	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xCTlo0UA==	F874_H	F874_H	2013	NA in endpoint		68,5100680312							
WD2053	15	2	WD2053	gnpis.lot:'3147'	15	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xCTlo0UA==	F874_H	F874_H	2013	NA in endpoint				68,5100680312					
WD2053	15	2	WD2053	gnpis.lot:'3147'	15	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xCTlo0UA==	F874_H	F874_H	2013	NA in endpoint						5.5718693793			
WD2053	15	2	WD2053	gnpis.lot:'3147'	15	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xCTlo0UA==	F874_H	F874_H	2013	NA in endpoint									198
WD2053	15	2	WD2053	gnpis.lot:'3147'	15	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xCTlo0UA==	F874_H	F874_H	2013	NA in endpoint								252	
WD2053	15	2	WD2053	gnpis.lot:'3147'	15	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xCTlo0UA==	F874_H	F874_H	2013	NA in endpoint			113						
WD2053	15	2	WD2053	gnpis.lot:'3147'	15	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xCTlo0UA==	F874_H	F874_H	2013	NA in endpoint	0,00000000000								
WD1098	17	1	WD1098	gnpis.lot:'3135'	5	14	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint					2596.5041487367				
WD1098	17	1	WD1098	gnpis.lot:'3135'	5	14	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint							295.0823835294		
