observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Tnight_Early	Ri_Early	MFLW_D20deg	Tnight_Fill	Psi_Flo	FFLW_D20deg	Tmax_Flo	GN	Tnight_Flo	Psi_Fill	Tmax_Fill	GY_Adj_tha	KW	Ri_Fill	tassel_height	Tmax_Early	Ri_Flo	plant_height
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint								313.9637123024										
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint													69.3477092458					
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint			70.5906809643															
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint						193.2726559149												
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint												2203.3941107451						
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint																		242.1352651142
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint															89.5153348452			
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint	18.1036202474																	
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint									18.2622175828									
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint				13.8006493338														
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint		114.219																
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint																	192.517	
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint														799.048				
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint					-64.1474358974													
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint										-50.9852941176								
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint																31.1304424812		
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint							32.7495611083											
3213water_regimerainfed	gnpis.lot:'3213'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzdDV1FWNw==	N192_H	N192_H	2013	NA in endpoint											25.8740992503							
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint								291.1856522745										
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint													76.2762826795					
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint			79.6258164743															
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint						205.6822014												
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint												2700.7231969106						
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint																		254.8113702028
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint															97.1254781717			
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint	16.7446952482																	
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint									20.0509447609									
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint				13.1239031914														
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint		260.24																
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint																	187.929	
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint														702.344				
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint					-96.6590909091													
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint										-41.2830687831								
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint																30.5397034504		
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint							34.1305636936											
3178water_regimerainfed	gnpis.lot:'3178'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01OTjNCVA==	Lo1038_H	Lo1038_H	2013	NA in endpoint											25.0520264544							
