observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
401677	2	2	401677	gnpis.lot:'3058'	1	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09KTVFHUg==	HMV5325_H	HMV5325_H	2012	NA in endpoint					3971.1934156379				
401677	2	2	401677	gnpis.lot:'3058'	1	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09KTVFHUg==	HMV5325_H	HMV5325_H	2012	NA in endpoint							237.2823529412		
401677	2	2	401677	gnpis.lot:'3058'	1	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09KTVFHUg==	HMV5325_H	HMV5325_H	2012	NA in endpoint		63,8763017097							
401677	2	2	401677	gnpis.lot:'3058'	1	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09KTVFHUg==	HMV5325_H	HMV5325_H	2012	NA in endpoint				64,6808710156					
401677	2	2	401677	gnpis.lot:'3058'	1	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09KTVFHUg==	HMV5325_H	HMV5325_H	2012	NA in endpoint						9.4229411765			
401677	2	2	401677	gnpis.lot:'3058'	1	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09KTVFHUg==	HMV5325_H	HMV5325_H	2012	NA in endpoint									270
401677	2	2	401677	gnpis.lot:'3058'	1	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09KTVFHUg==	HMV5325_H	HMV5325_H	2012	NA in endpoint								320	
401677	2	2	401677	gnpis.lot:'3058'	1	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09KTVFHUg==	HMV5325_H	HMV5325_H	2012	NA in endpoint			155						
401677	2	2	401677	gnpis.lot:'3058'	1	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09KTVFHUg==	HMV5325_H	HMV5325_H	2012	NA in endpoint	-0,80456930590								
401788	20	3	401788	gnpis.lot:'3245'	10	48	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint					3745.7912457913				
401788	20	3	401788	gnpis.lot:'3245'	10	48	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint							243.1905882353		
401788	20	3	401788	gnpis.lot:'3245'	10	48	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint		63,8763017097							
401788	20	3	401788	gnpis.lot:'3245'	10	48	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint				64,6808710156					
401788	20	3	401788	gnpis.lot:'3245'	10	48	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint						9.1094117647			
401788	20	3	401788	gnpis.lot:'3245'	10	48	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint									230
401788	20	3	401788	gnpis.lot:'3245'	10	48	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint								290	
401788	20	3	401788	gnpis.lot:'3245'	10	48	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint			145						
401788	20	3	401788	gnpis.lot:'3245'	10	48	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01NR0ZXTA==	UH_P115_H	UH_P115_H	2012	NA in endpoint	-0,80456930590								
401637	3	3	401637	gnpis.lot:'3153'	2	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tWV0FCQw==	F252_H	F252_H	2012	NA in endpoint					2899.5130588756				
401637	3	3	401637	gnpis.lot:'3153'	2	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tWV0FCQw==	F252_H	F252_H	2012	NA in endpoint							231.2152941176		
401637	3	3	401637	gnpis.lot:'3153'	2	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tWV0FCQw==	F252_H	F252_H	2012	NA in endpoint		55,8338140294							
401637	3	3	401637	gnpis.lot:'3153'	2	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tWV0FCQw==	F252_H	F252_H	2012	NA in endpoint				57,5901646893					
401637	3	3	401637	gnpis.lot:'3153'	2	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tWV0FCQw==	F252_H	F252_H	2012	NA in endpoint						6.7041176471			
401637	3	3	401637	gnpis.lot:'3153'	2	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tWV0FCQw==	F252_H	F252_H	2012	NA in endpoint									250
401637	3	3	401637	gnpis.lot:'3153'	2	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tWV0FCQw==	F252_H	F252_H	2012	NA in endpoint								290	
401637	3	3	401637	gnpis.lot:'3153'	2	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tWV0FCQw==	F252_H	F252_H	2012	NA in endpoint			150						
401637	3	3	401637	gnpis.lot:'3153'	2	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tWV0FCQw==	F252_H	F252_H	2012	NA in endpoint	-1,75635065990								
401771	21	3	401771	gnpis.lot:'3242'	11	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZPM0FLTg==	UH_P074_H	UH_P074_H	2012	NA in endpoint					3378.3783783784				
401771	21	3	401771	gnpis.lot:'3242'	11	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZPM0FLTg==	UH_P074_H	UH_P074_H	2012	NA in endpoint							262.9176470588		
401771	21	3	401771	gnpis.lot:'3242'	11	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZPM0FLTg==	UH_P074_H	UH_P074_H	2012	NA in endpoint		57,5901646893							
401771	21	3	401771	gnpis.lot:'3242'	11	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZPM0FLTg==	UH_P074_H	UH_P074_H	2012	NA in endpoint				60,4198781532					
401771	21	3	401771	gnpis.lot:'3242'	11	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZPM0FLTg==	UH_P074_H	UH_P074_H	2012	NA in endpoint						8.8823529412			
401771	21	3	401771	gnpis.lot:'3242'	11	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZPM0FLTg==	UH_P074_H	UH_P074_H	2012	NA in endpoint									240
401771	21	3	401771	gnpis.lot:'3242'	11	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZPM0FLTg==	UH_P074_H	UH_P074_H	2012	NA in endpoint								290	
401771	21	3	401771	gnpis.lot:'3242'	11	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZPM0FLTg==	UH_P074_H	UH_P074_H	2012	NA in endpoint			160						
401771	21	3	401771	gnpis.lot:'3242'	11	42	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZPM0FLTg==	UH_P074_H	UH_P074_H	2012	NA in endpoint	-2,82971346390								
400255	36	1	400255	gnpis.lot:'3033'	9	26	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1YyR1VaOA==	EC232_H	EC232_H	2012	NA in endpoint					2851.8518518519				
400255	36	1	400255	gnpis.lot:'3033'	9	26	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1YyR1VaOA==	EC232_H	EC232_H	2012	NA in endpoint							265.7647058824		
400255	36	1	400255	gnpis.lot:'3033'	9	26	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1YyR1VaOA==	EC232_H	EC232_H	2012	NA in endpoint		62,8595758722							
