observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Tnight_Early	Ri_Early	MFLW_D20deg	Tnight_Fill	Psi_Flo	FFLW_D20deg	Tmax_Flo	GN	Tnight_Flo	Psi_Fill	Tmax_Fill	GY_Adj_tha	KW	Ri_Fill	tassel_height	Tmax_Early	Ri_Flo	plant_height
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint								293.1919234832										
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint													69.7229036772					
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint			72.8199796391															
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint						267.7292688697												
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint												3262.8667307646						
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint																		313.0377951466
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint															150.8713663831			
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint	16.2039511494																	
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint									19.8947611111									
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint				13.3222093477														
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint		370.063																
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint																	232.473	
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint														794.236				
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint					-96.7371924603													
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint										-29.195009098								
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint																29.255604133		
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint							33.9454912169											
3132water_regimewatered	gnpis.lot:'3132'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U2TFlVNw==	EZ48_H	EZ48_H	2013	NA in endpoint											23.7753253695							
3135water_regimewatered	gnpis.lot:'3135'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint								345.2320113423										
3135water_regimewatered	gnpis.lot:'3135'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint													64.3386030947					
3135water_regimewatered	gnpis.lot:'3135'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint			64.0462461933															
3135water_regimewatered	gnpis.lot:'3135'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint						258.3057322175												
3135water_regimewatered	gnpis.lot:'3135'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint												2868.3483830063						
3135water_regimewatered	gnpis.lot:'3135'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint																		295.444689917
3135water_regimewatered	gnpis.lot:'3135'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint															134.3955298183			
3135water_regimewatered	gnpis.lot:'3135'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint	16.0438938492																	
3135water_regimewatered	gnpis.lot:'3135'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint									19.8978518519									
3135water_regimewatered	gnpis.lot:'3135'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint				13.8308137011														
3135water_regimewatered	gnpis.lot:'3135'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint		349.974																
3135water_regimewatered	gnpis.lot:'3135'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint																	161.968	
3135water_regimewatered	gnpis.lot:'3135'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint														919.324				
3135water_regimewatered	gnpis.lot:'3135'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k4S1NJQw==	F04402_H	F04402_H	2013	NA in endpoint					-100.4757010582													
