observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
53	8	1	53	gnpis.lot:'3183'	8	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint					3482.7787090148				
53	8	1	53	gnpis.lot:'3183'	8	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint							388		
53	8	1	53	gnpis.lot:'3183'	8	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint		70,3112532024							
53	8	1	53	gnpis.lot:'3183'	8	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint				71,6416376017					
53	8	1	53	gnpis.lot:'3183'	8	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint						13.513181391			
53	8	1	53	gnpis.lot:'3183'	8	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint									272
53	8	1	53	gnpis.lot:'3183'	8	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint								302	
53	8	1	53	gnpis.lot:'3183'	8	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint			125						
53	8	1	53	gnpis.lot:'3183'	8	4	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VLQkNBNg==	Lo1095_H	Lo1095_H	2013	NA in endpoint	-1,33038439930								
317	10	2	317	gnpis.lot:'3039'	22	6	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDRFVDRw==	PHG39_H	PHG39_H	2013	NA in endpoint					3718.0360006665				
