observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Tnight_Early	Ri_Early	MFLW_D20deg	Tnight_Fill	Psi_Flo	FFLW_D20deg	Tmax_Flo	GN	Tnight_Flo	Psi_Fill	Tmax_Fill	GY_Adj_tha	KW	Ri_Fill	tassel_height	Tmax_Early	Ri_Flo	plant_height
3118water_regimerainfed	gnpis.lot:'3118'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dZNlJRVQ==	EC242C_H	EC242C_H	2013	NA in endpoint								315.2137234591										
3118water_regimerainfed	gnpis.lot:'3118'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dZNlJRVQ==	EC242C_H	EC242C_H	2013	NA in endpoint													60.3086147913					
3118water_regimerainfed	gnpis.lot:'3118'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dZNlJRVQ==	EC242C_H	EC242C_H	2013	NA in endpoint			63.3269646989															
3118water_regimerainfed	gnpis.lot:'3118'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dZNlJRVQ==	EC242C_H	EC242C_H	2013	NA in endpoint						214.2142799743												
3118water_regimerainfed	gnpis.lot:'3118'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dZNlJRVQ==	EC242C_H	EC242C_H	2013	NA in endpoint												2562.8124118916						
3118water_regimerainfed	gnpis.lot:'3118'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dZNlJRVQ==	EC242C_H	EC242C_H	2013	NA in endpoint																		243.9687599373
3118water_regimerainfed	gnpis.lot:'3118'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dZNlJRVQ==	EC242C_H	EC242C_H	2013	NA in endpoint															87.3023909574			
3118water_regimerainfed	gnpis.lot:'3118'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dZNlJRVQ==	EC242C_H	EC242C_H	2013	NA in endpoint	17.2268171296																	
3118water_regimerainfed	gnpis.lot:'3118'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dZNlJRVQ==	EC242C_H	EC242C_H	2013	NA in endpoint									16.691503268									
3118water_regimerainfed	gnpis.lot:'3118'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dZNlJRVQ==	EC242C_H	EC242C_H	2013	NA in endpoint				18.2956795225														
3118water_regimerainfed	gnpis.lot:'3118'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dZNlJRVQ==	EC242C_H	EC242C_H	2013	NA in endpoint		249.226																
3118water_regimerainfed	gnpis.lot:'3118'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dZNlJRVQ==	EC242C_H	EC242C_H	2013	NA in endpoint																	281.49	
3118water_regimerainfed	gnpis.lot:'3118'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dZNlJRVQ==	EC242C_H	EC242C_H	2013	NA in endpoint														1321.334				
3118water_regimerainfed	gnpis.lot:'3118'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dZNlJRVQ==	EC242C_H	EC242C_H	2013	NA in endpoint					-180.8086507141													
