observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
213096	10	1	213096	gnpis.lot:'3096'	5	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2011	NA in endpoint					2371.0571184996				
213096	10	1	213096	gnpis.lot:'3096'	5	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2011	NA in endpoint							276		
213096	10	1	213096	gnpis.lot:'3096'	5	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2011	NA in endpoint		71,9162621594							
213096	10	1	213096	gnpis.lot:'3096'	5	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2011	NA in endpoint				71,9162621594					
213096	10	1	213096	gnpis.lot:'3096'	5	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2011	NA in endpoint						6.5441176471			
213096	10	1	213096	gnpis.lot:'3096'	5	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2011	NA in endpoint									190
213096	10	1	213096	gnpis.lot:'3096'	5	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2011	NA in endpoint								240	
213096	10	1	213096	gnpis.lot:'3096'	5	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2011	NA in endpoint			85						
213096	10	1	213096	gnpis.lot:'3096'	5	11	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRYWVhLQg==	MS71_H	MS71_H	2011	NA in endpoint	0,00000000000								
123082	8	2	123082	gnpis.lot:'3082'	9	15	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NaTFVaQw==	PHG47_H	PHG47_H	2011	NA in endpoint					3728.6931818182				
123082	8	2	123082	gnpis.lot:'3082'	9	15	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NaTFVaQw==	PHG47_H	PHG47_H	2011	NA in endpoint							264		
