observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
NXN2LAV3012039	29	2	NXN2LAV3012039	gnpis.lot:'3133'	22	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01XRFdBRQ==	F546_H	F546_H	2012	NA in endpoint					2892.6711153878				
NXN2LAV3012039	29	2	NXN2LAV3012039	gnpis.lot:'3133'	22	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01XRFdBRQ==	F546_H	F546_H	2012	NA in endpoint							241.1703529412		
NXN2LAV3012039	29	2	NXN2LAV3012039	gnpis.lot:'3133'	22	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01XRFdBRQ==	F546_H	F546_H	2012	NA in endpoint		65,5501162279							
NXN2LAV3012039	29	2	NXN2LAV3012039	gnpis.lot:'3133'	22	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01XRFdBRQ==	F546_H	F546_H	2012	NA in endpoint				68,7503943227					
NXN2LAV3012039	29	2	NXN2LAV3012039	gnpis.lot:'3133'	22	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01XRFdBRQ==	F546_H	F546_H	2012	NA in endpoint						6.9762651384			
NXN2LAV3012039	29	2	NXN2LAV3012039	gnpis.lot:'3133'	22	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01XRFdBRQ==	F546_H	F546_H	2012	NA in endpoint									245
NXN2LAV3012039	29	2	NXN2LAV3012039	gnpis.lot:'3133'	22	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01XRFdBRQ==	F546_H	F546_H	2012	NA in endpoint								NA	
NXN2LAV3012039	29	2	NXN2LAV3012039	gnpis.lot:'3133'	22	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01XRFdBRQ==	F546_H	F546_H	2012	NA in endpoint			110						
NXN2LAV3012039	29	2	NXN2LAV3012039	gnpis.lot:'3133'	22	10	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01XRFdBRQ==	F546_H	F546_H	2012	NA in endpoint	-3,20027809480								
NXN2LAV3019029	34	1	NXN2LAV3019029	gnpis.lot:'3166'	12	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RFVzNQNg==	I242_H	I242_H	2012	NA in endpoint					3146.7411204687				
NXN2LAV3019029	34	1	NXN2LAV3019029	gnpis.lot:'3166'	12	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RFVzNQNg==	I242_H	I242_H	2012	NA in endpoint							234.2234117647		
NXN2LAV3019029	34	1	NXN2LAV3019029	gnpis.lot:'3166'	12	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RFVzNQNg==	I242_H	I242_H	2012	NA in endpoint		72,7618835003							
NXN2LAV3019029	34	1	NXN2LAV3019029	gnpis.lot:'3166'	12	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RFVzNQNg==	I242_H	I242_H	2012	NA in endpoint				75,7721262276					
NXN2LAV3019029	34	1	NXN2LAV3019029	gnpis.lot:'3166'	12	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RFVzNQNg==	I242_H	I242_H	2012	NA in endpoint						7.3704044118			
NXN2LAV3019029	34	1	NXN2LAV3019029	gnpis.lot:'3166'	12	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RFVzNQNg==	I242_H	I242_H	2012	NA in endpoint									260
NXN2LAV3019029	34	1	NXN2LAV3019029	gnpis.lot:'3166'	12	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RFVzNQNg==	I242_H	I242_H	2012	NA in endpoint								NA	
NXN2LAV3019029	34	1	NXN2LAV3019029	gnpis.lot:'3166'	12	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RFVzNQNg==	I242_H	I242_H	2012	NA in endpoint			135						
NXN2LAV3019029	34	1	NXN2LAV3019029	gnpis.lot:'3166'	12	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RFVzNQNg==	I242_H	I242_H	2012	NA in endpoint	-3,01024272730								
NXN2LAV3009022	14	1	NXN2LAV3009022	gnpis.lot:'3150'	5	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZTSlNWQw==	F922_H	F922_H	2012	NA in endpoint					3600.1539605012				
NXN2LAV3009022	14	1	NXN2LAV3009022	gnpis.lot:'3150'	5	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZTSlNWQw==	F922_H	F922_H	2012	NA in endpoint							238.22		
NXN2LAV3009022	14	1	NXN2LAV3009022	gnpis.lot:'3150'	5	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZTSlNWQw==	F922_H	F922_H	2012	NA in endpoint		68,7503943227							
NXN2LAV3009022	14	1	NXN2LAV3009022	gnpis.lot:'3150'	5	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZTSlNWQw==	F922_H	F922_H	2012	NA in endpoint				68,7503943227					
NXN2LAV3009022	14	1	NXN2LAV3009022	gnpis.lot:'3150'	5	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZTSlNWQw==	F922_H	F922_H	2012	NA in endpoint						8.5762867647			
NXN2LAV3009022	14	1	NXN2LAV3009022	gnpis.lot:'3150'	5	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZTSlNWQw==	F922_H	F922_H	2012	NA in endpoint									265
NXN2LAV3009022	14	1	NXN2LAV3009022	gnpis.lot:'3150'	5	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZTSlNWQw==	F922_H	F922_H	2012	NA in endpoint								NA	
NXN2LAV3009022	14	1	NXN2LAV3009022	gnpis.lot:'3150'	5	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZTSlNWQw==	F922_H	F922_H	2012	NA in endpoint			100						
