observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Tnight_Early	Ri_Early	MFLW_D20deg	Tnight_Fill	Psi_Flo	FFLW_D20deg	Tmax_Flo	GN	Tnight_Flo	Psi_Fill	Tmax_Fill	GY_Adj_tha	KW	Ri_Fill	tassel_height	Tmax_Early	Ri_Flo
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint								271.9485667281									
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint													68.9383824698				
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint			77.0744983993														
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint						247.8644979247											
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint												3824.6216848471					
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint															121.0801883317		
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint	17.6997968819																
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint									17.7802681992								
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint				17.0753143056													
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint		132.755															
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint																	323.164
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint														877.37			
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint					-56.0545977011												
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint										-105.7002923977							
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint																34.3814208033	
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint							36.559193723										
3220water_regimewatered	gnpis.lot:'3220'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dXQVRSNA==	P465P_H	P465P_H	2012	NA in endpoint											33.1782490243						
3100water_regimerainfed	gnpis.lot:'3100'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1EwSE5PRw==	LH93_H	LH93_H	2012	NA in endpoint								255.5805327511									
3100water_regimerainfed	gnpis.lot:'3100'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1EwSE5PRw==	LH93_H	LH93_H	2012	NA in endpoint													71.038998806				
3100water_regimerainfed	gnpis.lot:'3100'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1EwSE5PRw==	LH93_H	LH93_H	2012	NA in endpoint			80.7731613058														
3100water_regimerainfed	gnpis.lot:'3100'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1EwSE5PRw==	LH93_H	LH93_H	2012	NA in endpoint						194.0166498576											
3100water_regimerainfed	gnpis.lot:'3100'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1EwSE5PRw==	LH93_H	LH93_H	2012	NA in endpoint												2897.3666373457					
3100water_regimerainfed	gnpis.lot:'3100'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1EwSE5PRw==	LH93_H	LH93_H	2012	NA in endpoint															136.1929634252		
3100water_regimerainfed	gnpis.lot:'3100'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1EwSE5PRw==	LH93_H	LH93_H	2012	NA in endpoint	17.1662878788																
3100water_regimerainfed	gnpis.lot:'3100'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1EwSE5PRw==	LH93_H	LH93_H	2012	NA in endpoint									18.5405092593								
