observationLevels[REPLICATE>BLOCK>PLOT]	observationLevels[REPLICATE>BLOCK]	observationLevels[REPLICATE]	observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ASI_D20deg	MFLW_D20deg	ear_height	FFLW_D20deg	GN	GY_Adj_tha	KW	tassel_height	plant_height
NXN2LAV1003033	4	2	NXN2LAV1003033	gnpis.lot:'3030'	1	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xGSzE5Qw==	B89_H	B89_H	2013	NA in endpoint					2717.2755427463				
NXN2LAV1003033	4	2	NXN2LAV1003033	gnpis.lot:'3030'	1	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xGSzE5Qw==	B89_H	B89_H	2013	NA in endpoint							222.2316470588		
NXN2LAV1003033	4	2	NXN2LAV1003033	gnpis.lot:'3030'	1	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xGSzE5Qw==	B89_H	B89_H	2013	NA in endpoint		66,1841770741							
NXN2LAV1003033	4	2	NXN2LAV1003033	gnpis.lot:'3030'	1	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xGSzE5Qw==	B89_H	B89_H	2013	NA in endpoint				70,9478960649					
NXN2LAV1003033	4	2	NXN2LAV1003033	gnpis.lot:'3030'	1	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xGSzE5Qw==	B89_H	B89_H	2013	NA in endpoint						6.0386461938			
NXN2LAV1003033	4	2	NXN2LAV1003033	gnpis.lot:'3030'	1	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xGSzE5Qw==	B89_H	B89_H	2013	NA in endpoint									225
NXN2LAV1003033	4	2	NXN2LAV1003033	gnpis.lot:'3030'	1	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xGSzE5Qw==	B89_H	B89_H	2013	NA in endpoint								270	
NXN2LAV1003033	4	2	NXN2LAV1003033	gnpis.lot:'3030'	1	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xGSzE5Qw==	B89_H	B89_H	2013	NA in endpoint			115						
NXN2LAV1003033	4	2	NXN2LAV1003033	gnpis.lot:'3030'	1	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xGSzE5Qw==	B89_H	B89_H	2013	NA in endpoint	-4,76371899080								
NXN2LAV1044029	28	1	NXN2LAV1044029	gnpis.lot:'3020'	5	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y4UDFUUw==	EZ11A_H	EZ11A_H	2013	NA in endpoint					3354.6260465362				
NXN2LAV1044029	28	1	NXN2LAV1044029	gnpis.lot:'3020'	5	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y4UDFUUw==	EZ11A_H	EZ11A_H	2013	NA in endpoint							258.6155294118		
NXN2LAV1044029	28	1	NXN2LAV1044029	gnpis.lot:'3020'	5	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y4UDFUUw==	EZ11A_H	EZ11A_H	2013	NA in endpoint		70,9478960649							
NXN2LAV1044029	28	1	NXN2LAV1044029	gnpis.lot:'3020'	5	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y4UDFUUw==	EZ11A_H	EZ11A_H	2013	NA in endpoint				74,246732055					
NXN2LAV1044029	28	1	NXN2LAV1044029	gnpis.lot:'3020'	5	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y4UDFUUw==	EZ11A_H	EZ11A_H	2013	NA in endpoint						8.67558391			
NXN2LAV1044029	28	1	NXN2LAV1044029	gnpis.lot:'3020'	5	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y4UDFUUw==	EZ11A_H	EZ11A_H	2013	NA in endpoint									270
NXN2LAV1044029	28	1	NXN2LAV1044029	gnpis.lot:'3020'	5	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y4UDFUUw==	EZ11A_H	EZ11A_H	2013	NA in endpoint								325	
NXN2LAV1044029	28	1	NXN2LAV1044029	gnpis.lot:'3020'	5	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y4UDFUUw==	EZ11A_H	EZ11A_H	2013	NA in endpoint			144						
NXN2LAV1044029	28	1	NXN2LAV1044029	gnpis.lot:'3020'	5	44	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y4UDFUUw==	EZ11A_H	EZ11A_H	2013	NA in endpoint	-3,29883599010								
NXN2LAV1025031	14	2	NXN2LAV1025031	gnpis.lot:'3023'	3	25	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tVWlFRQg==	Pa405_H	Pa405_H	2013	NA in endpoint					3397.8414607005				
NXN2LAV1025031	14	2	NXN2LAV1025031	gnpis.lot:'3023'	3	25	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tVWlFRQg==	Pa405_H	Pa405_H	2013	NA in endpoint							232.9295294118		
NXN2LAV1025031	14	2	NXN2LAV1025031	gnpis.lot:'3023'	3	25	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tVWlFRQg==	Pa405_H	Pa405_H	2013	NA in endpoint		67,8657230313							
NXN2LAV1025031	14	2	NXN2LAV1025031	gnpis.lot:'3023'	3	25	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tVWlFRQg==	Pa405_H	Pa405_H	2013	NA in endpoint				70,9478960649					
NXN2LAV1025031	14	2	NXN2LAV1025031	gnpis.lot:'3023'	3	25	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tVWlFRQg==	Pa405_H	Pa405_H	2013	NA in endpoint						7.9145761246			
NXN2LAV1025031	14	2	NXN2LAV1025031	gnpis.lot:'3023'	3	25	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tVWlFRQg==	Pa405_H	Pa405_H	2013	NA in endpoint									240
NXN2LAV1025031	14	2	NXN2LAV1025031	gnpis.lot:'3023'	3	25	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tVWlFRQg==	Pa405_H	Pa405_H	2013	NA in endpoint								305	
