observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Tnight_Early	Ri_Early	MFLW_D20deg	Tnight_Fill	Psi_Flo	FFLW_D20deg	Tmax_Flo	GN	Tnight_Flo	Psi_Fill	Tmax_Fill	GY_Adj_tha	KW	Ri_Fill	tassel_height	Tmax_Early	Ri_Flo	plant_height
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint								271.376292007										
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint													67.8591491938					
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint			74.2854308087															
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint						173.9149492329												
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint												1386.3701857377						
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint																		223.3445371866
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint															84.4109683918			
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint	17.4673768939																	
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint									20.5992121212									
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint				15.3563421301														
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint		270.432																
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint																	304.188	
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint														889.269				
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint					-178.9866666667													
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint										-72.2076388889								
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint																31.4403577818		
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint							36.1159413197											
3238water_regimerainfed	gnpis.lot:'3238'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BUVENPMg==	UH_6179_H	UH_6179_H	2013	NA in endpoint											30.3956549491							
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint								261.554651672										
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint													69.168352688					
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint			80.652860251															
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint						164.0015186627												
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint												1270.4798156912						
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint																		210.72251255
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint															86.9794658671			
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint	17.7639046717																	
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint									20.0004702194									
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint				15.1332037845														
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint		287.762																
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint																	388.58	
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint														802.84				
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint					-176.9554597701													
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint										-63.8114035088								
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint																32.0110554257		
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint							35.8082093515											
3088water_regimerainfed	gnpis.lot:'3088'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlHT1NLQQ==	W95115_H	W95115_H	2013	NA in endpoint											29.9564333392							
3232water_regimewatered	gnpis.lot:'3232'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dMRlBRQw==	PHV63_H	PHV63_H	2013	NA in endpoint								296.6170778441										
3232water_regimewatered	gnpis.lot:'3232'	NA in endpoint	NA in endpoint	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dMRlBRQw==	PHV63_H	PHV63_H	2013	NA in endpoint													71.841479532					
