Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]	Factor Value[water_regime]
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	3101water_regimewatered	virtual_trial		watered
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	213101	replicate>block>plot	X:15;Y:7;plot:213101	rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	3101water_regimerainfed	virtual_trial		rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	113101	replicate>block>plot	X:1;Y:7;plot:113101	watered
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	223101	replicate>block>plot	X:14;Y:47;plot:223101	rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	123101	replicate>block>plot	X:13;Y:28;plot:123101	watered
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	233101	replicate>block>plot	X:3;Y:47;plot:233101	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	213008	replicate>block>plot	X:15;Y:17;plot:213008	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	223008	replicate>block>plot	X:14;Y:48;plot:223008	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	233008	replicate>block>plot	X:1;Y:32;plot:233008	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	113008	replicate>block>plot	X:9;Y:19;plot:113008	watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	3008water_regimerainfed	virtual_trial		rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	123008	replicate>block>plot	X:13;Y:4;plot:123008	watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	3008water_regimewatered	virtual_trial		watered
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	3013water_regimerainfed	virtual_trial		rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	213013	replicate>block>plot	X:11;Y:14;plot:213013	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	233013	replicate>block>plot	X:8;Y:33;plot:233013	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	3013water_regimewatered	virtual_trial		watered
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	113013	replicate>block>plot	X:8;Y:27;plot:113013	watered
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	223013	replicate>block>plot	X:13;Y:55;plot:223013	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	123013	replicate>block>plot	X:18;Y:18;plot:123013	watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	223017	replicate>block>plot	X:15;Y:47;plot:223017	rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	3017water_regimerainfed	virtual_trial		rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	213017	replicate>block>plot	X:10;Y:2;plot:213017	rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	3017water_regimewatered	virtual_trial		watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	123017	replicate>block>plot	X:15;Y:27;plot:123017	watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	113017	replicate>block>plot	X:9;Y:9;plot:113017	watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	233017	replicate>block>plot	X:3;Y:54;plot:233017	rainfed
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	3103water_regimerainfed	virtual_trial		rainfed
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	213103	replicate>block>plot	X:12;Y:22;plot:213103	rainfed
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	113103	replicate>block>plot	X:1;Y:21;plot:113103	watered
