Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]	Factor Value[water_regime]
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	FRI00407928	replicate>block>plot	X:7;Y:56;plot:FRI00407928	rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	FRI00408139	replicate>block>plot	X:8;Y:14;plot:FRI00408139	rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	FRI00406937	replicate>block>plot	X:7;Y:21;plot:FRI00406937	watered
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	3101water_regimewatered	virtual_trial		watered
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	3101water_regimerainfed	virtual_trial		rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	FRI00407666	replicate>block>plot	X:16;Y:46;plot:FRI00407666	rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	FRI00406808	replicate>block>plot	X:11;Y:25;plot:FRI00406808	watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	3008water_regimewatered	virtual_trial		watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	FRI00408252	replicate>block>plot	X:4;Y:13;plot:FRI00408252	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	FRI00406796	replicate>block>plot	X:12;Y:20;plot:FRI00406796	watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	3008water_regimerainfed	virtual_trial		rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	FRI00408058	replicate>block>plot	X:2;Y:39;plot:FRI00408058	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	FRI00407740	replicate>block>plot	X:13;Y:49;plot:FRI00407740	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	FRI00406893	replicate>block>plot	X:8;Y:24;plot:FRI00406893	watered
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	FRI00406817	replicate>block>plot	X:11;Y:16;plot:FRI00406817	watered
