Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]	Factor Value[water_regime]
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	YCXGDTM1082022	replicate>block>plot	X:82;Y:22;plot:YCXGDTM1082022	rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	3101water_regimewatered	virtual_trial		watered
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	YCXGDTM1105024	replicate>block>plot	X:105;Y:24;plot:YCXGDTM1105024	rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	YCXGDTM1100041	replicate>block>plot	X:100;Y:41;plot:YCXGDTM1100041	watered
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	YCXGDTM1079048	replicate>block>plot	X:79;Y:48;plot:YCXGDTM1079048	watered
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	YCXGDTM1042032	replicate>block>plot	X:42;Y:32;plot:YCXGDTM1042032	rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	3101water_regimerainfed	virtual_trial		rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	YCXGDTM1070037	replicate>block>plot	X:70;Y:37;plot:YCXGDTM1070037	watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	3008water_regimerainfed	virtual_trial		rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	YCXGDTM1091020	replicate>block>plot	X:91;Y:20;plot:YCXGDTM1091020	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	YCXGDTM1088044	replicate>block>plot	X:88;Y:44;plot:YCXGDTM1088044	watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	3008water_regimewatered	virtual_trial		watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	YCXGDTM1045030	replicate>block>plot	X:45;Y:30;plot:YCXGDTM1045030	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	YCXGDTM1066027	replicate>block>plot	X:66;Y:27;plot:YCXGDTM1066027	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	YCXGDTM1081039	replicate>block>plot	X:81;Y:39;plot:YCXGDTM1081039	watered
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	YCXGDTM1059040	replicate>block>plot	X:59;Y:40;plot:YCXGDTM1059040	watered
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	YCXGDTM1095031	replicate>block>plot	X:95;Y:31;plot:YCXGDTM1095031	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	YCXGDTM1065027	replicate>block>plot	X:65;Y:27;plot:YCXGDTM1065027	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	3013water_regimerainfed	virtual_trial		rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	3013water_regimewatered	virtual_trial		watered
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	YCXGDTM1045018	replicate>block>plot	X:45;Y:18;plot:YCXGDTM1045018	rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	YCXGDTM1045022	replicate>block>plot	X:45;Y:22;plot:YCXGDTM1045022	rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	YCXGDTM1089045	replicate>block>plot	X:89;Y:45;plot:YCXGDTM1089045	watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	YCXGDTM1058037	replicate>block>plot	X:58;Y:37;plot:YCXGDTM1058037	watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	YCXGDTM1110025	replicate>block>plot	X:110;Y:25;plot:YCXGDTM1110025	rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	3017water_regimewatered	virtual_trial		watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	3017water_regimerainfed	virtual_trial		rainfed
