Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]	Factor Value[water_regime]
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	WD2039	replicate>block>plot	X:14;Y:4;plot:WD2039	rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	WD1221	replicate>block>plot	X:11;Y:11;plot:WD1221	rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	3101water_regimerainfed	virtual_trial		rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	WD3105	replicate>block>plot	X:29;Y:21;plot:WD3105	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	WD3107	replicate>block>plot	X:30;Y:20;plot:WD3107	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	WD1054	replicate>block>plot	X:3;Y:12;plot:WD1054	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	3008water_regimerainfed	virtual_trial		rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	WD2131	replicate>block>plot	X:19;Y:5;plot:WD2131	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	3013water_regimerainfed	virtual_trial		rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	WD2183	replicate>block>plot	X:21;Y:15;plot:WD2183	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	WD3008	replicate>block>plot	X:25;Y:8;plot:WD3008	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	WD1248	replicate>block>plot	X:12;Y:5;plot:WD1248	rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	3017water_regimerainfed	virtual_trial		rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	WD1106	replicate>block>plot	X:6;Y:21;plot:WD1106	rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	WD2114	replicate>block>plot	X:18;Y:13;plot:WD2114	rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	WD3169	replicate>block>plot	X:33;Y:1;plot:WD3169	rainfed
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	WD2076	replicate>block>plot	X:16;Y:9;plot:WD2076	rainfed
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	3103water_regimerainfed	virtual_trial		rainfed
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	WD1235	replicate>block>plot	X:12;Y:18;plot:WD1235	rainfed
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	WD3080	replicate>block>plot	X:28;Y:5;plot:WD3080	rainfed
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	WD3233	replicate>block>plot	X:36;Y:20;plot:WD3233	rainfed
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	WD2139	replicate>block>plot	X:19;Y:13;plot:WD2139	rainfed
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	3102water_regimerainfed	virtual_trial		rainfed
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	WD1251	replicate>block>plot	X:12;Y:2;plot:WD1251	rainfed
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	WD2206	replicate>block>plot	X:22;Y:5;plot:WD2206	rainfed
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	3221water_regimerainfed	virtual_trial		rainfed
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	WD1182	replicate>block>plot	X:9;Y:14;plot:WD1182	rainfed
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	WD3020	replicate>block>plot	X:25;Y:20;plot:WD3020	rainfed
AS5707_H	NCBITAXON:4577	Zea	mays	var. AS5707	AS5707_H	https://doi.org/10.15454/U4PWL3	Growth	3067water_regimerainfed	virtual_trial		rainfed
AS5707_H	NCBITAXON:4577	Zea	mays	var. AS5707	AS5707_H	https://doi.org/10.15454/U4PWL3	Growth	WD3030	replicate>block>plot	X:26;Y:13;plot:WD3030	rainfed
AS5707_H	NCBITAXON:4577	Zea	mays	var. AS5707	AS5707_H	https://doi.org/10.15454/U4PWL3	Growth	WD1046	replicate>block>plot	X:3;Y:4;plot:WD1046	rainfed
AS5707_H	NCBITAXON:4577	Zea	mays	var. AS5707	AS5707_H	https://doi.org/10.15454/U4PWL3	Growth	WD2109	replicate>block>plot	X:18;Y:18;plot:WD2109	rainfed
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	WD2177	replicate>block>plot	X:21;Y:9;plot:WD2177	rainfed
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	WD1194	replicate>block>plot	X:10;Y:17;plot:WD1194	rainfed
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	WD3252	replicate>block>plot	X:36;Y:1;plot:WD3252	rainfed
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	3019water_regimerainfed	virtual_trial		rainfed
B104_H	NCBITAXON:4577	Zea	mays	var. B104	B104_H	https://doi.org/10.15454/4W8MAU	Growth	3029water_regimerainfed	virtual_trial		rainfed
B104_H	NCBITAXON:4577	Zea	mays	var. B104	B104_H	https://doi.org/10.15454/4W8MAU	Growth	WD3028	replicate>block>plot	X:26;Y:15;plot:WD3028	rainfed
B104_H	NCBITAXON:4577	Zea	mays	var. B104	B104_H	https://doi.org/10.15454/4W8MAU	Growth	WD2239	replicate>block>plot	X:24;Y:14;plot:WD2239	rainfed
B104_H	NCBITAXON:4577	Zea	mays	var. B104	B104_H	https://doi.org/10.15454/4W8MAU	Growth	WD1039	replicate>block>plot	X:2;Y:4;plot:WD1039	rainfed
B105_H	NCBITAXON:4577	Zea	mays	var. B105	B105_H	https://doi.org/10.15454/KIHXDG	Growth	WD3018	replicate>block>plot	X:25;Y:18;plot:WD3018	rainfed
B105_H	NCBITAXON:4577	Zea	mays	var. B105	B105_H	https://doi.org/10.15454/KIHXDG	Growth	3012water_regimerainfed	virtual_trial		rainfed
B105_H	NCBITAXON:4577	Zea	mays	var. B105	B105_H	https://doi.org/10.15454/KIHXDG	Growth	WD1012	replicate>block>plot	X:1;Y:12;plot:WD1012	rainfed
B105_H	NCBITAXON:4577	Zea	mays	var. B105	B105_H	https://doi.org/10.15454/KIHXDG	Growth	WD2049	replicate>block>plot	X:15;Y:7;plot:WD2049	rainfed
B106_H	NCBITAXON:4577	Zea	mays	var. B106	B106_H	https://doi.org/10.15454/U7YFIU	Growth	3066water_regimerainfed	virtual_trial		rainfed
B106_H	NCBITAXON:4577	Zea	mays	var. B106	B106_H	https://doi.org/10.15454/U7YFIU	Growth	WD1141	replicate>block>plot	X:7;Y:15;plot:WD1141	rainfed
B106_H	NCBITAXON:4577	Zea	mays	var. B106	B106_H	https://doi.org/10.15454/U7YFIU	Growth	WD3182	replicate>block>plot	X:33;Y:14;plot:WD3182	rainfed
B106_H	NCBITAXON:4577	Zea	mays	var. B106	B106_H	https://doi.org/10.15454/U7YFIU	Growth	WD2078	replicate>block>plot	X:16;Y:7;plot:WD2078	rainfed
B107_H	NCBITAXON:4577	Zea	mays	var. B107	B107_H	https://doi.org/10.15454/XH5MEH	Growth	WD1042	replicate>block>plot	X:2;Y:1;plot:WD1042	rainfed
B107_H	NCBITAXON:4577	Zea	mays	var. B107	B107_H	https://doi.org/10.15454/XH5MEH	Growth	WD2058	replicate>block>plot	X:15;Y:16;plot:WD2058	rainfed
B107_H	NCBITAXON:4577	Zea	mays	var. B107	B107_H	https://doi.org/10.15454/XH5MEH	Growth	3053water_regimerainfed	virtual_trial		rainfed
B107_H	NCBITAXON:4577	Zea	mays	var. B107	B107_H	https://doi.org/10.15454/XH5MEH	Growth	WD3076	replicate>block>plot	X:28;Y:9;plot:WD3076	rainfed
B108_H	NCBITAXON:4577	Zea	mays	var. B108	B108_H	https://doi.org/10.15454/21XOCO	Growth	3074water_regimerainfed	virtual_trial		rainfed
B108_H	NCBITAXON:4577	Zea	mays	var. B108	B108_H	https://doi.org/10.15454/21XOCO	Growth	WD3067	replicate>block>plot	X:28;Y:18;plot:WD3067	rainfed
B108_H	NCBITAXON:4577	Zea	mays	var. B108	B108_H	https://doi.org/10.15454/21XOCO	Growth	WD1094	replicate>block>plot	X:5;Y:10;plot:WD1094	rainfed
B108_H	NCBITAXON:4577	Zea	mays	var. B108	B108_H	https://doi.org/10.15454/21XOCO	Growth	WD2175	replicate>block>plot	X:21;Y:7;plot:WD2175	rainfed
B109_H	NCBITAXON:4577	Zea	mays	var. B109	B109_H	https://doi.org/10.15454/X4VLZJ	Growth	WD1230	replicate>block>plot	X:11;Y:20;plot:WD1230	rainfed
B109_H	NCBITAXON:4577	Zea	mays	var. B109	B109_H	https://doi.org/10.15454/X4VLZJ	Growth	3104water_regimerainfed	virtual_trial		rainfed
B109_H	NCBITAXON:4577	Zea	mays	var. B109	B109_H	https://doi.org/10.15454/X4VLZJ	Growth	WD3001	replicate>block>plot	X:25;Y:1;plot:WD3001	rainfed
B109_H	NCBITAXON:4577	Zea	mays	var. B109	B109_H	https://doi.org/10.15454/X4VLZJ	Growth	WD2220	replicate>block>plot	X:23;Y:10;plot:WD2220	rainfed
B110_H	NCBITAXON:4577	Zea	mays	var. B110	B110_H	https://doi.org/10.15454/3XPQEN	Growth	3105water_regimerainfed	virtual_trial		rainfed
B110_H	NCBITAXON:4577	Zea	mays	var. B110	B110_H	https://doi.org/10.15454/3XPQEN	Growth	WD1217	replicate>block>plot	X:11;Y:7;plot:WD1217	rainfed
B110_H	NCBITAXON:4577	Zea	mays	var. B110	B110_H	https://doi.org/10.15454/3XPQEN	Growth	WD3136	replicate>block>plot	X:31;Y:10;plot:WD3136	rainfed
B110_H	NCBITAXON:4577	Zea	mays	var. B110	B110_H	https://doi.org/10.15454/3XPQEN	Growth	WD2194	replicate>block>plot	X:22;Y:17;plot:WD2194	rainfed
B113_H	NCBITAXON:4577	Zea	mays	var. B113	B113_H	https://doi.org/10.15454/HZM5Q3	Growth	3059water_regimerainfed	virtual_trial		rainfed
