Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]	Factor Value[water_regime]
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	401834	replicate>block>plot	X:7;Y:51;plot:401834	rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	3101water_regimewatered	virtual_trial		watered
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	401426	replicate>block>plot	X:8;Y:10;plot:401426	rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	400149	replicate>block>plot	X:13;Y:20;plot:400149	watered
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	401221	replicate>block>plot	X:14;Y:21;plot:401221	rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	3101water_regimerainfed	virtual_trial		rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	400400	replicate>block>plot	X:4;Y:8;plot:400400	watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	3008water_regimerainfed	virtual_trial		rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	401528	replicate>block>plot	X:5;Y:33;plot:401528	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	401831	replicate>block>plot	X:7;Y:54;plot:401831	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	401634	replicate>block>plot	X:2;Y:2;plot:401634	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	400145	replicate>block>plot	X:13;Y:24;plot:400145	watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	400442	replicate>block>plot	X:3;Y:7;plot:400442	watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	3008water_regimewatered	virtual_trial		watered
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	400230	replicate>block>plot	X:10;Y:6;plot:400230	watered
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	3013water_regimerainfed	virtual_trial		rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	401276	replicate>block>plot	X:12;Y:4;plot:401276	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	401880	replicate>block>plot	X:5;Y:41;plot:401880	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	401382	replicate>block>plot	X:9;Y:35;plot:401382	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	3013water_regimewatered	virtual_trial		watered
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	400435	replicate>block>plot	X:3;Y:14;plot:400435	watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	400369	replicate>block>plot	X:5;Y:24;plot:400369	watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	401782	replicate>block>plot	X:10;Y:42;plot:401782	rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	3017water_regimerainfed	virtual_trial		rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	400048	replicate>block>plot	X:17;Y:9;plot:400048	watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	401492	replicate>block>plot	X:6;Y:4;plot:401492	rainfed
