Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]	Factor Value[water_regime]
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	233008	replicate>block>plot	X:13;Y:9;plot:233008	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	3008water_regimewatered	virtual_trial		watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	213008	replicate>block>plot	X:3;Y:12;plot:213008	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	223008	replicate>block>plot	X:7;Y:5;plot:223008	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	123008	replicate>block>plot	X:10;Y:7;plot:123008	watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	113008	replicate>block>plot	X:5;Y:9;plot:113008	watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	3008water_regimerainfed	virtual_trial		rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	223013	replicate>block>plot	X:7;Y:3;plot:223013	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	123013	replicate>block>plot	X:8;Y:11;plot:123013	watered
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	233013	replicate>block>plot	X:15;Y:13;plot:233013	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	3013water_regimewatered	virtual_trial		watered
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	213013	replicate>block>plot	X:4;Y:7;plot:213013	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	3013water_regimerainfed	virtual_trial		rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	113013	replicate>block>plot	X:1;Y:4;plot:113013	watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	113017	replicate>block>plot	X:3;Y:9;plot:113017	watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	213017	replicate>block>plot	X:1;Y:16;plot:213017	rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	3017water_regimerainfed	virtual_trial		rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	123017	replicate>block>plot	X:7;Y:13;plot:123017	watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	3017water_regimewatered	virtual_trial		watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	223017	replicate>block>plot	X:6;Y:5;plot:223017	rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	233017	replicate>block>plot	X:15;Y:6;plot:233017	rainfed
AS5707_H	NCBITAXON:4577	Zea	mays	var. AS5707	AS5707_H	https://doi.org/10.15454/U4PWL3	Growth	223067	replicate>block>plot	X:10;Y:2;plot:223067	rainfed
AS5707_H	NCBITAXON:4577	Zea	mays	var. AS5707	AS5707_H	https://doi.org/10.15454/U4PWL3	Growth	213067	replicate>block>plot	X:1;Y:19;plot:213067	rainfed
AS5707_H	NCBITAXON:4577	Zea	mays	var. AS5707	AS5707_H	https://doi.org/10.15454/U4PWL3	Growth	113067	replicate>block>plot	X:3;Y:2;plot:113067	watered
AS5707_H	NCBITAXON:4577	Zea	mays	var. AS5707	AS5707_H	https://doi.org/10.15454/U4PWL3	Growth	123067	replicate>block>plot	X:9;Y:9;plot:123067	watered
AS5707_H	NCBITAXON:4577	Zea	mays	var. AS5707	AS5707_H	https://doi.org/10.15454/U4PWL3	Growth	233067	replicate>block>plot	X:11;Y:12;plot:233067	rainfed
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	113019	replicate>block>plot	X:5;Y:15;plot:113019	watered
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	3019water_regimewatered	virtual_trial		watered
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	213019	replicate>block>plot	X:1;Y:5;plot:213019	rainfed
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	3019water_regimerainfed	virtual_trial		rainfed
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	123019	replicate>block>plot	X:10;Y:4;plot:123019	watered
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	223019	replicate>block>plot	X:7;Y:15;plot:223019	rainfed
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	233019	replicate>block>plot	X:14;Y:17;plot:233019	rainfed
