Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]	Factor Value[water_regime]
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	NXN2LAV2002019	replicate>block>plot	X:14;Y:20;plot:NXN2LAV2002019	rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	3101water_regimewatered	virtual_trial		watered
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	NXN2LAV2013017	replicate>block>plot	X:12;Y:9;plot:NXN2LAV2013017	rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	3101water_regimerainfed	virtual_trial		rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	NXN2LAV3009024	replicate>block>plot	X:7;Y:13;plot:NXN2LAV3009024	watered
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	NXN2LAV2010039	replicate>block>plot	X:34;Y:12;plot:NXN2LAV2010039	rainfed
11430_H	NCBITAXON:4577	Zea	mays	var. 11430	11430_H	https://doi.org/10.15454/MDSCXQ	Growth	NXN2LAV3004038	replicate>block>plot	X:21;Y:18;plot:NXN2LAV3004038	watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	3008water_regimerainfed	virtual_trial		rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	NXN2LAV2008016	replicate>block>plot	X:11;Y:14;plot:NXN2LAV2008016	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	NXN2LAV2009025	replicate>block>plot	X:20;Y:13;plot:NXN2LAV2009025	rainfed
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	NXN2LAV3015023	replicate>block>plot	X:6;Y:7;plot:NXN2LAV3015023	watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	3008water_regimewatered	virtual_trial		watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	NXN2LAV3010032	replicate>block>plot	X:15;Y:12;plot:NXN2LAV3010032	watered
A310_H	NCBITAXON:4577	Zea	mays	var. A310	A310_H	https://doi.org/10.15454/GAHOFA	Growth	NXN2LAV2004039	replicate>block>plot	X:34;Y:18;plot:NXN2LAV2004039	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	3013water_regimerainfed	virtual_trial		rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	NXN2LAV2018041	replicate>block>plot	X:36;Y:4;plot:NXN2LAV2018041	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	NXN2LAV2019011	replicate>block>plot	X:6;Y:3;plot:NXN2LAV2019011	rainfed
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	3013water_regimewatered	virtual_trial		watered
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	NXN2LAV3001037	replicate>block>plot	X:20;Y:21;plot:NXN2LAV3001037	watered
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	NXN2LAV3002027	replicate>block>plot	X:10;Y:20;plot:NXN2LAV3002027	watered
A347_H	NCBITAXON:4577	Zea	mays	var. A347	A347_H	https://doi.org/10.15454/CNJTVT	Growth	NXN2LAV2012022	replicate>block>plot	X:17;Y:10;plot:NXN2LAV2012022	rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	NXN2LAV2016026	replicate>block>plot	X:21;Y:6;plot:NXN2LAV2016026	rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	NXN2LAV3002036	replicate>block>plot	X:19;Y:20;plot:NXN2LAV3002036	watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	NXN2LAV2015015	replicate>block>plot	X:10;Y:7;plot:NXN2LAV2015015	rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	3017water_regimerainfed	virtual_trial		rainfed
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	3017water_regimewatered	virtual_trial		watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	NXN2LAV3020029	replicate>block>plot	X:12;Y:2;plot:NXN2LAV3020029	watered
A374_H	NCBITAXON:4577	Zea	mays	var. A374	A374_H	https://doi.org/10.15454/O8CNHP	Growth	NXN2LAV2012041	replicate>block>plot	X:36;Y:10;plot:NXN2LAV2012041	rainfed
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	NXN2LAV2014036	replicate>block>plot	X:31;Y:8;plot:NXN2LAV2014036	rainfed
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	NXN2LAV3017025	replicate>block>plot	X:8;Y:5;plot:NXN2LAV3017025	watered
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	NXN2LAV3009041	replicate>block>plot	X:24;Y:13;plot:NXN2LAV3009041	watered
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	NXN2LAV2011015	replicate>block>plot	X:10;Y:11;plot:NXN2LAV2011015	rainfed
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	3103water_regimerainfed	virtual_trial		rainfed
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	3103water_regimewatered	virtual_trial		watered
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	NXN2LAV2016022	replicate>block>plot	X:17;Y:6;plot:NXN2LAV2016022	rainfed
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	NXN2LAV3004020	replicate>block>plot	X:3;Y:18;plot:NXN2LAV3004020	watered
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	NXN2LAV2009020	replicate>block>plot	X:15;Y:13;plot:NXN2LAV2009020	rainfed
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	NXN2LAV2009033	replicate>block>plot	X:28;Y:13;plot:NXN2LAV2009033	rainfed
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	3102water_regimewatered	virtual_trial		watered
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	NXN2LAV3018039	replicate>block>plot	X:22;Y:4;plot:NXN2LAV3018039	watered
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	3102water_regimerainfed	virtual_trial		rainfed
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	NXN2LAV2004016	replicate>block>plot	X:11;Y:18;plot:NXN2LAV2004016	rainfed
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	NXN2LAV3011032	replicate>block>plot	X:15;Y:11;plot:NXN2LAV3011032	watered
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	NXN2LAV2014022	replicate>block>plot	X:17;Y:8;plot:NXN2LAV2014022	rainfed
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	3221water_regimewatered	virtual_trial		watered
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	NXN2LAV3011026	replicate>block>plot	X:9;Y:11;plot:NXN2LAV3011026	watered
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	NXN2LAV2003041	replicate>block>plot	X:36;Y:19;plot:NXN2LAV2003041	rainfed
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	NXN2LAV2011011	replicate>block>plot	X:6;Y:11;plot:NXN2LAV2011011	rainfed
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	3221water_regimerainfed	virtual_trial		rainfed
