Name,Reference_ID
JRCNM03000a,PMID:25779207|PMID:27031799|PMID:32049073
JRCNM06000a,PMID:27670079
JRCNM02101a,PMID:29490761
JRCNM10202a,PMID:32101144|PMID:32748892
JRCNM10200a,PMID:32101144|PMID:32034456|PMID:32439902
JRCNM50001a,PMID:32049073|PMID:31949204
JRCNM62101a,PMID:32260261|PMID:33073368
JRCNM02003a,PMID:32608137
JRCNM62001a,PMID:32748892
JRCNM04002a,PMID:26156627|PMID:25393212|PMID:30168672|PMID:32049073|PMID:33073368
JRCNM04000a,PMID:28380028|PMID:28966106|PMID:30168672
JRCNM04001a,PMID:28380028|PMID:25393212|PMID:30168672|PMID:33073368
JRCNM04003a,PMID:28380028|PMID:25393212|PMID:30168672
JRCNM01003a,PMID:28062079|PMID:26580731
JRCNM01004a,PMID:28062079
JRCNM01005a,PMID:28062079|PMID:31086251|PMID:31393970|PMID:31646185|PMID:31739797|PMID:30698850|PMID:32748892|PMID:33073368|PMID:36245792
JRCNM02102a,PMID:26580731|PMID:28966106|PMID:28524602|PMID:30924045|PMID:31766412|PMID:32049073
JRCNM01100a,PMID:28966106|PMID:30611880|PMID:31352547|PMID:32197356|PMID:32600046
JRCNM01101a,PMID:28966106|PMID:31086251|PMID:31393970|PMID:30611880|PMID:31739797|PMID:32260261|PMID:33073368|PMID:33322568
JRCNM02000a,PMID:28966106|PMID:31766412|PMID:32049073|PMID:32608137|PMID:33073368
JRCNM01001a,PMID:31766412|PMID:32600046|PMID:32608137|PMID:33073368|PMID:33120920|PMID:33322568
JRCNM10404,PMID:32600046
JRCNM01000a,PMID:32608137
