ISA path	ENA fields	ENA XML OBJECT	core or optional	comments
studies/assays/dataFiles/name				
studies/assays/dataFiles/type	Raw Data File	run		bold = hard coded by ISA
studies/assays/dataFiles/comments	Title	run	core	greyed-out = TBD
studies/assays/dataFiles/comments	filetype	run	core	
studies/assays/dataFiles/comments	checksum_method	run	core	
studies/assays/dataFiles/comments	checksum	run	core	
studies/assays/dataFiles/comments	submission tool	run	core	
studies/assays/dataFiles/comments	run attribute (tag, value)	run	optional	
studies/assays/dataFiles/comments	run attribute (tag, value)	run	optional	
studies/assays/dataFiles/comments	status	run	from ENA	
studies/assays/dataFiles/comments	accession	run	from ENA	
studies/protocols/name	nucleic acid sequencig			
studies/protocols/protocolType	nucleic acid sequencig			
studies/protocols/parameters/parameterName	Instrument model	run/experiment		
studies/protocols/parameters/parameterName	Submission tool	run/experiment		
				
studies/assays/materials/otherMaterials/name				
studies/assays/materials/otherMaterials/type	library name			
studies/assays/materials/otherMaterials/characteristics/value/annotationValue	Title	experiment		
studies/assays/materials/otherMaterials/characteristics/value/annotationValue	Study ref (refname (= alias in STUDY))	experiment		
studies/assays/materials/otherMaterials/characteristics/value/annotationValue	Design description	experiment		
studies/assays/materials/otherMaterials/characteristics/value/annotationValue	Sample descriptor (accession)	experiment		
studies/assays/materials/otherMaterials/characteristics/value/annotationValue	Instrument model	experiment		
studies/assays/materials/otherMaterials/characteristics/value/annotationValue	Submission tool	experiment	optional	
studies/assays/materials/otherMaterials/characteristics/value/annotationValue	submission date	experiment	from ENA	
studies/assays/materials/otherMaterials/characteristics/value/annotationValue	status	experiment	from ENA	
studies/assays/materials/otherMaterials/characteristics/value/annotationValue	accession	experiment	from ENA	
studies/protocols/name	library construction			
studies/protocols/protocolType	library construction			
studies/protocols/parameters/parameterName/annotationValue	library_construction_protocol	experiment		
studies/protocols/parameters/parameterName/annotationValue	design_description	experiment		
studies/protocols/parameters/parameterName/annotationValue	Library source	experiment		
studies/protocols/parameters/parameterName/annotationValue	Library strategy	experiment		
studies/protocols/parameters/parameterName/annotationValue	Library selection	experiment		
studies/protocols/parameters/parameterName/annotationValue	Library Layout	experiment		
studies/protocols/parameters/parameterName/annotationValue	insert size	experiment		
studies/protocols/parameters/parameterName/annotationValue	library platform	experiment		
				
studies/assays/materials/otherMaterials/type	extract name	na		
studies/protocols/name	extraction	na		
studies/protocols/protocolType	extraction	na		
studies/protocols/parameters/@id		na		
studies/protocols/parameters/parameterName/annotationValue		na		
				
studies/materials/samples/name	sample name			
studies/materials/samples/characteristics/value	biosamples checklists?	sub-sample		
studies/protocols/name	sample collection			
studies/protocols/protocolType	sample collection			
studies/protocols/parameters/parameterName/annotationValue				
				
studies/materials/sources/name	source name	sample		
studies/materials/sources/characteristics/value/annotationValue	sample checklists	sample		
				
studies/identifier			from ENA	
studies/title	Title	study		
studies/description	Description/Abstract	study		
studies/submissionDate		study		
studies/publicReleaseDate	release date	study		
studies/studyDesignDescriptors/annotationValue	Study type - CV	study	optional - other	decide if these attributes should be annotationValue or comments
studies/studyDesignDescriptors/comments	Study (center name, alias)	study	from ENA	
studies/studyDesignDescriptors/comments	Center project name	study	from ENA	
studies/studyDesignDescriptors/comments	email adress	study		
studies/studyDesignDescriptors/comments	submission tool	study	optional	
studies/studyDesignDescriptors/comments	alias	study	from ENA	
				
investigation/title	title	project	core	
investigation/description	description	project	core	
investigation/submissionDate		project		
investigation/publicReleaseDate		project		
	alias	project	from ENA	
	submission_project	project	from ENA	
